species,vif_value,covariate,Covariate Type
bacs,3.843245314,factor(treatment)rx_fire_sec_growth,abund
bacs,2.962312913,factor(treatment)rx_fire_young,abund
bacs,2.180349006,factor(treatment)timber,abund
bacs,2.974340123,scale(shrub_cover),abund
bacs,1.707155912,scale(grass_cover),abund
bacs,1.64004465,scale(forb_cover),abund
bacs,2.45292909,scale(shrub_height),abund
bacs,1.72396675,scale(grass_height),abund
bacs,1.163209117,I(scale(day)^2),det
bacs,1.924058407,scale(day),det
bacs,2.440991138,scale(temp),det
bacs,1.431879655,scale(wind_speed),det
bacs,1.028564935,scale(precipitation),det
blgr,1.766773062,factor(treatment)rx_fire_sec_growth,abund
blgr,2.18740701,factor(treatment)rx_fire_young,abund
blgr,1.753649203,factor(treatment)timber,abund
blgr,2.61789314,scale(shrub_cover),abund
blgr,1.946869404,scale(grass_cover),abund
blgr,1.417800146,scale(forb_cover),abund
blgr,1.651015365,scale(shrub_height),abund
blgr,1.651219632,scale(grass_height),abund
blgr,1.150810668,I(scale(day)^2),det
blgr,1.846182394,scale(day),det
blgr,2.310619607,scale(temp),det
blgr,1.421256554,scale(wind_speed),det
blgr,1.027810229,scale(precipitation),det
coni,3.24798833,factor(treatment)rx_fire_sec_growth,abund
coni,3.406353669,factor(treatment)rx_fire_young,abund
coni,1.528388736,factor(treatment)timber,abund
coni,3.90153668,scale(shrub_cover),abund
coni,2.12230261,scale(grass_cover),abund
coni,1.955689522,scale(forb_cover),abund
coni,2.168577336,scale(shrub_height),abund
coni,2.451320297,scale(grass_height),abund
coni,1.160546406,I(scale(day)^2),det
coni,2.044239344,scale(day),det
coni,2.574493694,scale(temp),det
coni,1.42371328,scale(wind_speed),det
coni,1.035483505,scale(precipitation),det
coye,11.25465435,factor(treatment)rx_fire_sec_growth,abund
coye,11.08110948,factor(treatment)rx_fire_young,abund
coye,10.22619492,factor(treatment)timber,abund
coye,4.997984407,scale(shrub_cover),abund
coye,3.943095227,scale(grass_cover),abund
coye,2.591584434,scale(forb_cover),abund
coye,1.498636873,scale(shrub_height),abund
coye,1.61252857,scale(grass_height),abund
coye,1.159474721,I(scale(day)^2),det
coye,1.885096854,scale(day),det
coye,2.313127334,scale(temp),det
coye,1.393163254,scale(wind_speed),det
coye,1.026473516,scale(precipitation),det
cwwi,3.831630084,factor(treatment)rx_fire_sec_growth,abund
cwwi,3.394961154,factor(treatment)rx_fire_young,abund
cwwi,1.885158072,factor(treatment)timber,abund
cwwi,3.35913315,scale(shrub_cover),abund
cwwi,2.041080881,scale(grass_cover),abund
cwwi,1.653250305,scale(forb_cover),abund
cwwi,2.131242141,scale(shrub_height),abund
cwwi,2.472947196,scale(grass_height),abund
cwwi,1.223879653,I(scale(day)^2),det
cwwi,3.26999938,scale(day),det
cwwi,4.170706105,scale(temp),det
cwwi,1.583234842,scale(wind_speed),det
cwwi,1.071867742,scale(precipitation),det
inbu,1.590286701,factor(treatment)rx_fire_sec_growth,abund
inbu,3.341821443,factor(treatment)rx_fire_young,abund
inbu,2.513799957,factor(treatment)timber,abund
inbu,2.525545613,scale(shrub_cover),abund
inbu,2.155918786,scale(grass_cover),abund
inbu,1.33103565,scale(forb_cover),abund
inbu,1.620524931,scale(shrub_height),abund
inbu,1.414117158,scale(grass_height),abund
inbu,1.123569302,I(scale(day)^2),det
inbu,1.818726621,scale(day),det
inbu,2.167911481,scale(temp),det
inbu,1.268941361,scale(wind_speed),det
inbu,1.015452104,scale(precipitation),det
praw,1.447707443,factor(treatment)rx_fire_sec_growth,abund
praw,6.486607818,factor(treatment)rx_fire_young,abund
praw,5.682770337,factor(treatment)timber,abund
praw,5.298846862,scale(shrub_cover),abund
praw,2.259811891,scale(grass_cover),abund
praw,2.623528982,scale(forb_cover),abund
praw,2.313709653,scale(shrub_height),abund
praw,2.353959554,scale(grass_height),abund
praw,1.348736764,I(scale(day)^2),det
praw,1.759261717,scale(day),det
praw,1.461610053,scale(temp),det
praw,1.220607099,scale(wind_speed),det
praw,1.016205612,scale(precipitation),det
wevi,1.650173971,factor(treatment)rx_fire_sec_growth,abund
wevi,2.777776784,factor(treatment)rx_fire_young,abund
wevi,1.942997542,factor(treatment)timber,abund
wevi,3.089507688,scale(shrub_cover),abund
wevi,2.661398858,scale(grass_cover),abund
wevi,1.522582527,scale(forb_cover),abund
wevi,1.484318842,scale(shrub_height),abund
wevi,1.430268831,scale(grass_height),abund
wevi,1.152581088,I(scale(day)^2),det
wevi,1.652414088,scale(day),det
wevi,1.777193891,scale(temp),det
wevi,1.194457061,scale(wind_speed),det
wevi,1.020861917,scale(precipitation),det
coye,11.25465435,factor(treatment)rx_fire_sec_growth,abund
coye,11.08110948,factor(treatment)rx_fire_young,abund
coye,10.22619492,factor(treatment)timber,abund
coye,4.997984407,scale(shrub_cover),abund
coye,3.943095227,scale(grass_cover),abund
coye,2.591584434,scale(forb_cover),abund
coye,1.498636873,scale(shrub_height),abund
coye,1.61252857,scale(grass_height),abund
coye,1.159474721,I(scale(day)^2),det
coye,1.885096854,scale(day),det
coye,2.313127334,scale(temp),det
coye,1.393163254,scale(wind_speed),det
coye,1.026473516,scale(precipitation),det
