"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","species_code"
"Treatment + Shrub Cover + Grass Cover",11,1381.48212963994,0,1,0.922746794984274,-674.241064819972,0.922746794984274,"Bachman's Sparrow"
"Treatment + Shrub Cover + Grass Cover + Forb Cover + Shrub Height + Grass Height",14,1386.64008912833,5.15795948838877,0.0758513523411905,0.0699915922680564,-669.320044564166,0.99273838725233,"Bachman's Sparrow"
"Shrub Cover + Grass Cover + Forb Cover + Shrub Height + Grass Height",11,1391.17201563152,9.68988599157728,0.00786806595509789,0.00726023264279146,-679.08600781576,0.999998619895121,"Bachman's Sparrow"
"Treatment + Shrub Cover",10,1408.3249352646,26.8428056246582,1.48306033334414e-06,1.36848916936161e-06,-689.762467632301,0.999999988384291,"Bachman's Sparrow"
"Treatment + Grass Cover",10,1418.76368204768,37.2815524077357,8.02442193242242e-09,7.4045096197443e-09,-694.98184102384,0.9999999957888,"Bachman's Sparrow"
"Treatment * Shrub Cover",13,1421.60054811501,40.1184184750655,1.94265695286966e-09,1.7925804770144e-09,-689.527546784777,0.999999997581381,"Bachman's Sparrow"
"Shrub Cover + Grass Cover",8,1422.0975188021,40.6153891621602,1.51523608100325e-09,1.39817923739028e-09,-700.382092734385,0.99999999897956,"Bachman's Sparrow"
"Treatment * Grass Cover",13,1423.80628016494,42.3241505249964,6.4480365102135e-10,5.94990502374108e-10,-690.630412809743,0.999999999574551,"Bachman's Sparrow"
"Shrub Cover * Grass Cover",9,1424.53260864472,43.0504790047776,4.48443013640996e-10,4.13799353570318e-10,-699.804765860822,0.99999999998835,"Bachman's Sparrow"
"Treatment * Shrub Cover * Grass Cover",21,1432.40800995159,50.9258803116418,8.74149266109506e-12,8.06618433640401e-12,-662.204004975793,0.999999999996416,"Bachman's Sparrow"
"Treatment",9,1434.03051382926,52.548384189319,3.88385812333379e-12,3.58381763547989e-12,-704.553718453093,1,"Bachman's Sparrow"
"Null",6,1462.34918722604,80.8670575860986,2.75385811905397e-18,2.54111375319847e-18,-723.726317750952,1,"Bachman's Sparrow"
"Treatment * Grass Cover",13,1744.38482670373,0,1,0.999995832571735,-850.919686079138,0.999995832571735,"Blue Grosbeak"
"Shrub Cover * Grass Cover",9,1769.17744828761,24.7926215838829,4.13381110020717e-06,4.13379387284595e-06,-872.127185682268,0.999999966365608,"Blue Grosbeak"
"Treatment + Grass Cover",10,1779.15271358379,34.7678868800597,2.82000118150271e-08,2.81998942935008e-08,-875.176356791895,0.999999994565502,"Blue Grosbeak"
"Treatment + Shrub Cover + Grass Cover",11,1783.25591799252,38.8710912887902,3.62451393547719e-09,3.62449883057537e-09,-875.12795899626,0.999999998190001,"Blue Grosbeak"
"Treatment + Shrub Cover + Grass Cover + Forb Cover + Shrub Height + Grass Height",14,1785.72426810023,41.339441396505,1.0550046122231e-09,1.05500021556706e-09,-868.862134050117,0.999999999245001,"Blue Grosbeak"
"Treatment",9,1787.09743340252,42.7126066987937,5.30976501268829e-10,5.30974288462349e-10,-881.087178239723,0.999999999775975,"Blue Grosbeak"
"Treatment * Shrub Cover",13,1790.34492618782,45.9600994840891,1.04686626058222e-10,1.04686189784218e-10,-873.899735821182,0.999999999880661,"Blue Grosbeak"
"Treatment + Shrub Cover",10,1790.35848340688,45.9736567031505,1.03979396023291e-10,1.03978962696617e-10,-880.77924170344,0.99999999998464,"Blue Grosbeak"
"Treatment * Shrub Cover * Grass Cover",21,1795.5378658581,51.1530391543688,7.80294743612217e-12,7.80291491789847e-12,-843.768932929049,0.999999999992443,"Blue Grosbeak"
"Shrub Cover + Grass Cover",8,1796.19033742642,51.8055107226864,5.63088010778597e-12,5.63085664149705e-12,-887.428502046541,0.999999999998074,"Blue Grosbeak"
"Shrub Cover + Grass Cover + Forb Cover + Shrub Height + Grass Height",11,1798.34086790873,53.9560412050005,1.92129706650913e-12,1.92128905964142e-12,-882.670433954365,0.999999999999995,"Blue Grosbeak"
"Null",6,1810.40115158747,66.0163248837439,4.62101303655536e-15,4.62099377881502e-15,-897.752299931668,1,"Blue Grosbeak"
