site,lat,long,X,Y,utm_zone_3
O-8,30.735825999999999,-82.132039,3400872,391628,17R
M-11,31.000966999999999,-81.974136,3430116,407001,17R
M-9,31.014551000000001,-81.970892,3431619,407324,17R
M-6,31.024702999999999,-81.96947,3432743,407470,17R
T-21,31.062836000000001,-81.967317,3436967,407712,17R
T-22,31.063175000000001,-81.955033,3436995,408884,17R
T-16,31.054700000000000,-81.95844,3436058,408551,17R
R-9,31.474027000000000,-81.64982,3482320,438272,17R
R-11,31.478681999999999,-81.648163,3482835,438433,17R
R-13,31.492956000000000,-81.65717,3484422,437586,17R
R-6,31.490036000000000,-81.682753,3484114,435155,17R
R-2,31.451920999999999,-81.677162,3479886,435660,17R
R-1,31.443985999999999,-81.678994,3479007,435480,17R
R-12,31.486481999999999,-81.65091,3483701,438177,17R
R-10,31.472843000000001,-81.644869,3482186,438742,17R
R-7,31.475199000000000,-81.662027,3482457,437113,17R
R-3,31.459982000000000,-81.676797,3480779,435700,17R
M-12,31.010558000000000,-81.968836,3431174,407517,17R
M-10,31.010797000000000,-81.974203,3431205,407005,17R
M-7,31.016703000000000,-81.972813,3431859,407143,17R
M-5,31.026108000000001,-81.964688,3432894,407928,17R
M-2,31.034032000000000,-81.961456,3433770,408244,17R
M-1,31.039014999999999,-81.960801,3434322,408311,17R
T-14,31.086597000000001,-81.958733,3439594,408554,17R
T-9,31.089489000000000,-81.951343,3439908,409261,17R
T-6,31.084235000000000,-81.965491,3439337,407907,17R
T-19,31.060240000000000,-81.959085,3436673,408495,17R
T-4,31.076082000000000,-81.966803,3438435,407774,17R
T-1,31.070864000000000,-81.968951,3437858,407564,17R
O-1,30.698812000000000,-82.165041,3396802,388426,17R
O-2,30.704075000000000,-82.163057,3397384,388622,17R
O-3,30.708182999999998,-82.15994,3397836,388925,17R
O-4,30.707356999999998,-82.146623,3397731,390200,17R
O-7,30.743233000000000,-82.133134,3401694,391531,17R
O-5,30.736242000000001,-82.120711,3400907,392713,17R
O-6,30.732109999999999,-82.123088,3400452,392481,17R
