Dataset,Treatment,Abundance_Estimate,Abundance_SE,Cumulative_Detection_Probability,Detection_Probability_SE
Every 10 Days - 5 Surveys,Mine,0.496673661,0.339909272,0.717716497,0.039092376
Every 10 Days - 5 Surveys,Sec-Growth Rx Fire,2.11182254,1.348767355,0.717716497,0.039092376
Every 10 Days - 5 Surveys,Young Rx Fire,0.705476054,0.370705438,0.717716497,0.039092376
Every 10 Days - 5 Surveys,Timber,0.565656261,0.360863607,0.717716497,0.039092376
Every 2 Days - 25 Surveys,Mine,0.937127806,0.362224225,0.964456975,0.014696881
Every 2 Days - 25 Surveys,Sec-Growth Rx Fire,4.386256642,1.555059351,0.964456975,0.014696881
Every 2 Days - 25 Surveys,Young Rx Fire,1.836007924,0.545081846,0.964456975,0.014696881
Every 2 Days - 25 Surveys,Timber,1.47882021,0.504318014,0.964456975,0.014696881
Every 3 Days - 17 Surveys,Mine,0.867525688,0.354232307,0.905398849,0.027531663
Every 3 Days - 17 Surveys,Sec-Growth Rx Fire,6.015632979,2.019479571,0.905398849,0.027531663
Every 3 Days - 17 Surveys,Young Rx Fire,1.922796603,0.596821745,0.905398849,0.027531663
Every 3 Days - 17 Surveys,Timber,1.186359813,0.461216606,0.905398849,0.027531663
Every 4 Days - 13 Surveys,Mine,0.950000837,0.412261965,0.915942156,0.026402563
Every 4 Days - 13 Surveys,Sec-Growth Rx Fire,4.430012206,1.884429965,0.915942156,0.026402563
Every 4 Days - 13 Surveys,Young Rx Fire,1.182702974,0.441555022,0.915942156,0.026402563
Every 4 Days - 13 Surveys,Timber,0.96513647,0.427967926,0.915942156,0.026402563
Every 7 Days - 8 Surveys,Mine,0.361244232,0.227309066,0.812479745,0.038213342
Every 7 Days - 8 Surveys,Sec-Growth Rx Fire,2.57327152,1.380087755,0.812479745,0.038213342
Every 7 Days - 8 Surveys,Young Rx Fire,0.783796464,0.36354595,0.812479745,0.038213342
Every 7 Days - 8 Surveys,Timber,0.55321631,0.30653107,0.812479745,0.038213342
Every Day - 50 Surveys,Mine,1.681871427,0.487736451,0.990714048,0.005025095
Every Day - 50 Surveys,Sec-Growth Rx Fire,7.205322581,1.900109575,0.990714048,0.005025095
Every Day - 50 Surveys,Young Rx Fire,2.836383116,0.675967584,0.990714048,0.005025095
Every Day - 50 Surveys,Timber,1.754465639,0.527017487,0.990714048,0.005025095
