"site","date","count"
"M-1",2024-03-10,5
"M-1",2024-03-11,14
"M-1",2024-03-12,22
"M-1",2024-03-13,23
"M-1",2024-03-14,13
"M-1",2024-03-15,84
"M-1",2024-03-16,43
"M-1",2024-03-17,12
"M-1",2024-03-18,10
"M-1",2024-03-19,14
"M-1",2024-03-20,12
"M-1",2024-03-21,15
"M-1",2024-03-22,33
"M-1",2024-03-23,51
"M-1",2024-03-24,32
"M-1",2024-03-25,6
"M-1",2024-03-26,33
"M-1",2024-03-27,8
"M-1",2024-03-28,2
"M-1",2024-03-29,15
"M-1",2024-03-30,7
"M-1",2024-03-31,4
"M-1",2024-04-01,16
"M-1",2024-04-02,5
"M-1",2024-04-03,6
"M-1",2024-04-04,1
"M-1",2024-04-05,5
"M-1",2024-04-06,13
"M-1",2024-04-07,3
"M-1",2024-04-08,44
"M-1",2024-04-09,48
"M-1",2024-04-10,41
"M-1",2024-04-11,18
"M-1",2024-04-12,10
"M-1",2024-04-13,1
"M-1",2024-04-14,1
"M-1",2024-04-15,0
"M-1",2024-04-16,25
"M-1",2024-04-17,4
"M-1",2024-04-18,5
"M-1",2024-04-19,8
"M-1",2024-04-20,4
"M-1",2024-04-21,22
"M-1",2024-04-22,10
"M-1",2024-04-23,12
"M-1",2024-04-24,65
"M-1",2024-04-25,53
"M-1",2024-04-26,24
"M-1",2024-04-27,11
"M-1",2024-04-28,22
"M-1",2024-04-29,11
"M-1",2024-04-30,16
"M-1",2024-05-01,49
"M-1",2024-05-02,45
"M-1",2024-05-03,58
"M-1",2024-05-04,37
"M-1",2024-05-05,5
"M-1",2024-05-06,51
"M-1",2024-05-07,54
"M-1",2024-05-08,62
"M-1",2024-05-09,61
"M-1",2024-05-10,122
"M-1",2024-05-11,73
"M-1",2024-05-12,77
"M-1",2024-05-13,40
"M-1",2024-05-14,73
"M-1",2024-05-15,47
"M-1",2024-05-16,25
"M-1",2024-05-17,15
"M-1",2024-05-18,16
"M-1",2024-05-19,10
"M-1",2024-05-20,10
"M-1",2024-05-21,62
"M-1",2024-05-22,55
"M-1",2024-05-23,53
"M-1",2024-05-24,38
"M-1",2024-05-25,26
"M-1",2024-05-26,9
"M-1",2024-05-27,22
"M-1",2024-05-28,7
"M-1",2024-05-29,20
"M-1",2024-05-30,3
"M-1",2024-05-31,30
"M-1",2024-06-01,31
"M-1",2024-06-02,69
"M-1",2024-06-03,18
"M-1",2024-06-04,3
"M-1",2024-06-05,6
"M-1",2024-06-06,31
"M-1",2024-06-07,6
"M-1",2024-06-08,2
"M-1",2024-06-09,7
"M-1",2024-06-10,7
"M-1",2024-06-11,27
"M-1",2024-06-12,1
"M-1",2024-06-13,36
"M-1",2024-06-14,49
"M-1",2024-06-15,1
"M-1",2024-06-16,7
"M-1",2024-06-17,10
"M-1",2024-06-18,47
"M-1",2024-06-19,76
"M-1",2024-06-20,130
"M-1",2024-06-21,81
"M-1",2024-06-22,132
"M-1",2024-06-23,46
"M-1",2024-06-24,120
"M-1",2024-06-25,92
"M-1",2024-06-26,141
"M-1",2024-06-27,74
"M-1",2024-06-28,57
"M-10",2024-03-10,0
"M-10",2024-03-11,0
"M-10",2024-03-12,0
"M-10",2024-03-13,0
"M-10",2024-03-14,0
"M-10",2024-03-15,0
"M-10",2024-03-16,0
"M-10",2024-03-17,0
"M-10",2024-03-18,0
"M-10",2024-03-19,0
"M-10",2024-03-20,0
