"site","date","count"
"M-1",2024-03-10,0
"M-1",2024-03-11,0
"M-1",2024-03-12,0
"M-1",2024-03-13,0
"M-1",2024-03-14,0
"M-1",2024-03-15,0
"M-1",2024-03-16,0
"M-1",2024-03-17,0
"M-1",2024-03-18,0
"M-1",2024-03-19,0
"M-1",2024-03-20,0
"M-1",2024-03-21,0
"M-1",2024-03-22,0
"M-1",2024-03-23,0
"M-1",2024-03-24,0
"M-1",2024-03-25,0
"M-1",2024-03-26,0
"M-1",2024-03-27,0
"M-1",2024-03-28,0
"M-1",2024-03-29,0
"M-1",2024-03-30,0
"M-1",2024-03-31,0
"M-1",2024-04-01,0
"M-1",2024-04-02,0
"M-1",2024-04-03,0
"M-1",2024-04-04,0
"M-1",2024-04-05,0
"M-1",2024-04-06,0
"M-1",2024-04-07,0
"M-1",2024-04-08,0
"M-1",2024-04-09,0
"M-1",2024-04-10,0
"M-1",2024-04-11,0
"M-1",2024-04-12,0
"M-1",2024-04-13,0
"M-1",2024-04-14,0
"M-1",2024-04-15,1
"M-1",2024-04-16,0
"M-1",2024-04-17,0
"M-1",2024-04-18,0
"M-1",2024-04-19,0
"M-1",2024-04-20,0
"M-1",2024-04-21,0
"M-1",2024-04-22,0
"M-1",2024-04-23,0
"M-1",2024-04-24,0
"M-1",2024-04-25,0
"M-1",2024-04-26,0
"M-1",2024-04-27,0
"M-1",2024-04-28,0
"M-1",2024-04-29,0
"M-1",2024-04-30,0
"M-1",2024-05-01,0
"M-1",2024-05-02,0
"M-1",2024-05-03,0
"M-1",2024-05-04,1
"M-1",2024-05-05,0
"M-1",2024-05-06,0
"M-1",2024-05-07,0
"M-1",2024-05-08,1
"M-1",2024-05-09,2
"M-1",2024-05-10,0
"M-1",2024-05-11,0
"M-1",2024-05-12,0
"M-1",2024-05-13,1
"M-1",2024-05-14,0
"M-1",2024-05-15,0
"M-1",2024-05-16,0
"M-1",2024-05-17,0
"M-1",2024-05-18,0
"M-1",2024-05-19,4
"M-1",2024-05-20,6
"M-1",2024-05-21,0
"M-1",2024-05-22,0
"M-1",2024-05-23,0
"M-1",2024-05-24,0
"M-1",2024-05-25,10
"M-1",2024-05-26,2
"M-1",2024-05-27,1
"M-1",2024-05-28,12
"M-1",2024-05-29,13
"M-1",2024-05-30,42
"M-1",2024-05-31,5
"M-1",2024-06-01,16
"M-1",2024-06-02,33
"M-1",2024-06-03,154
"M-1",2024-06-04,47
"M-1",2024-06-05,11
"M-1",2024-06-06,17
"M-1",2024-06-07,32
"M-1",2024-06-08,76
"M-1",2024-06-09,98
"M-1",2024-06-10,106
"M-1",2024-06-11,22
"M-1",2024-06-12,32
"M-1",2024-06-13,26
"M-1",2024-06-14,54
"M-1",2024-06-15,10
"M-1",2024-06-16,0
"M-1",2024-06-17,15
"M-1",2024-06-18,10
"M-1",2024-06-19,18
"M-1",2024-06-20,6
"M-1",2024-06-21,3
"M-1",2024-06-22,4
"M-1",2024-06-23,4
"M-1",2024-06-24,4
"M-1",2024-06-25,0
"M-1",2024-06-26,2
"M-1",2024-06-27,2
"M-1",2024-06-28,0
"M-10",2024-03-10,0
"M-10",2024-03-11,0
"M-10",2024-03-12,0
"M-10",2024-03-13,0
"M-10",2024-03-14,0
"M-10",2024-03-15,0
"M-10",2024-03-16,0
"M-10",2024-03-17,0
"M-10",2024-03-18,0
"M-10",2024-03-19,0
"M-10",2024-03-20,0
"M-10",2024-03-21,0
"M-10",2024-03-22,0
"M-10",2024-03-23,1
"M-10",2024-03-24,0
"M-10",2024-03-25,1
"M-10",2024-03-26,0
"M-10",2024-03-27,0
"M-10",2024-03-28,0
"M-10",2024-03-29,0
"M-10",2024-03-30,0
"M-10",2024-03-31,0
"M-10",2024-04-01,0
"M-10",2024-04-02,0
"M-10",2024-04-03,0
"M-10",2024-04-04,0
"M-10",2024-04-05,0
"M-10",2024-04-06,0
"M-10",2024-04-07,0
"M-10",2024-04-08,0
"M-10",2024-04-09,0
"M-10",2024-04-10,0
"M-10",2024-04-11,0
"M-10",2024-04-12,0
"M-10",2024-04-13,0
"M-10",2024-04-14,1
"M-10",2024-04-15,17
"M-10",2024-04-16,24
"M-10",2024-04-17,17
"M-10",2024-04-18,13
"M-10",2024-04-19,0
"M-10",2024-04-20,25
"M-10",2024-04-21,4
"M-10",2024-04-22,5
"M-10",2024-04-23,77
"M-10",2024-04-24,5
"M-10",2024-04-25,28
"M-10",2024-04-26,20
"M-10",2024-04-27,22
"M-10",2024-04-28,14
"M-10",2024-04-29,4
"M-10",2024-04-30,2
"M-10",2024-05-01,0
"M-10",2024-05-02,4
"M-10",2024-05-03,2
"M-10",2024-05-04,0
"M-10",2024-05-05,0
"M-10",2024-05-06,0
"M-10",2024-05-07,0
"M-10",2024-05-08,0
"M-10",2024-05-09,0
"M-10",2024-05-10,0
"M-10",2024-05-11,5
"M-10",2024-05-12,8
"M-10",2024-05-13,7
"M-10",2024-05-14,44
"M-10",2024-05-15,5
"M-10",2024-05-16,0
"M-10",2024-05-17,2
"M-10",2024-05-18,15
"M-10",2024-05-19,4
"M-10",2024-05-20,2
"M-10",2024-05-21,10
"M-10",2024-05-22,14
"M-10",2024-05-23,0
"M-10",2024-05-24,8
"M-10",2024-05-25,0
"M-10",2024-05-26,2
"M-10",2024-05-27,0
"M-10",2024-05-28,0
"M-10",2024-05-29,0
"M-10",2024-05-30,0
"M-10",2024-05-31,0
"M-10",2024-06-01,1
"M-10",2024-06-02,2
"M-10",2024-06-03,8
"M-10",2024-06-04,0
"M-10",2024-06-05,0
"M-10",2024-06-06,1
"M-10",2024-06-07,2
"M-10",2024-06-08,1
"M-10",2024-06-09,0
"M-10",2024-06-10,11
"M-10",2024-06-11,1
"M-10",2024-06-12,4
"M-10",2024-06-13,0
"M-10",2024-06-14,2
"M-10",2024-06-15,4
"M-10",2024-06-16,8
"M-10",2024-06-17,0
"M-10",2024-06-18,19
"M-10",2024-06-19,9
"M-10",2024-06-20,5
"M-10",2024-06-21,17
"M-10",2024-06-22,8
"M-10",2024-06-23,5
"M-10",2024-06-24,1
"M-10",2024-06-25,8
"M-10",2024-06-26,12
"M-10",2024-06-27,0
"M-10",2024-06-28,0
"M-11",2024-03-10,0
"M-11",2024-03-11,0
"M-11",2024-03-12,0
"M-11",2024-03-13,0
"M-11",2024-03-14,0
"M-11",2024-03-15,0
"M-11",2024-03-16,0
"M-11",2024-03-17,0
"M-11",2024-03-18,0
"M-11",2024-03-19,0
"M-11",2024-03-20,0
"M-11",2024-03-21,0
"M-11",2024-03-22,0
"M-11",2024-03-23,0
"M-11",2024-03-24,0
"M-11",2024-03-25,0
"M-11",2024-03-26,0
"M-11",2024-03-27,0
"M-11",2024-03-28,0
"M-11",2024-03-29,0
"M-11",2024-03-30,0
"M-11",2024-03-31,0
"M-11",2024-04-01,0
"M-11",2024-04-02,0
"M-11",2024-04-03,0
"M-11",2024-04-04,0
"M-11",2024-04-05,0
"M-11",2024-04-06,0
"M-11",2024-04-07,0
"M-11",2024-04-08,0
"M-11",2024-04-09,0
"M-11",2024-04-10,0
"M-11",2024-04-11,0
"M-11",2024-04-12,0
"M-11",2024-04-13,0
"M-11",2024-04-14,0
"M-11",2024-04-15,0
"M-11",2024-04-16,0
"M-11",2024-04-17,0
"M-11",2024-04-18,0
"M-11",2024-04-19,0
"M-11",2024-04-20,0
"M-11",2024-04-21,0
"M-11",2024-04-22,1
"M-11",2024-04-23,5
"M-11",2024-04-24,0
"M-11",2024-04-25,5
"M-11",2024-04-26,6
"M-11",2024-04-27,0
"M-11",2024-04-28,0
"M-11",2024-04-29,0
"M-11",2024-04-30,0
"M-11",2024-05-01,0
"M-11",2024-05-02,7
"M-11",2024-05-03,1
"M-11",2024-05-04,0
"M-11",2024-05-05,2
"M-11",2024-05-06,1
"M-11",2024-05-07,0
"M-11",2024-05-08,3
"M-11",2024-05-09,39
"M-11",2024-05-10,45
"M-11",2024-05-11,3
"M-11",2024-05-12,26
"M-11",2024-05-13,0
"M-11",2024-05-14,0
"M-11",2024-05-15,0
"M-11",2024-05-16,7
"M-11",2024-05-17,1
"M-11",2024-05-18,2
"M-11",2024-05-19,3
"M-11",2024-05-20,14
"M-11",2024-05-21,6
"M-11",2024-05-22,0
"M-11",2024-05-23,13
"M-11",2024-05-24,1
"M-11",2024-05-25,7
"M-11",2024-05-26,3
"M-11",2024-05-27,0
"M-11",2024-05-28,4
"M-11",2024-05-29,0
"M-11",2024-05-30,10
"M-11",2024-05-31,4
"M-11",2024-06-01,0
"M-11",2024-06-02,0
"M-11",2024-06-03,4
"M-11",2024-06-04,2
"M-11",2024-06-05,0
"M-11",2024-06-06,1
"M-11",2024-06-07,0
"M-11",2024-06-08,17
"M-11",2024-06-09,0
"M-11",2024-06-10,0
"M-11",2024-06-11,0
"M-11",2024-06-12,0
"M-11",2024-06-13,0
"M-11",2024-06-14,0
"M-11",2024-06-15,0
"M-11",2024-06-16,0
"M-11",2024-06-17,0
"M-11",2024-06-18,0
"M-11",2024-06-19,1
"M-11",2024-06-20,0
"M-11",2024-06-21,1
"M-11",2024-06-22,1
"M-11",2024-06-23,0
"M-11",2024-06-24,0
"M-11",2024-06-25,4
"M-11",2024-06-26,73
"M-11",2024-06-27,0
"M-11",2024-06-28,0
"M-12",2024-03-10,0
"M-12",2024-03-11,0
"M-12",2024-03-12,0
"M-12",2024-03-13,0
"M-12",2024-03-14,0
"M-12",2024-03-15,0
"M-12",2024-03-16,0
"M-12",2024-03-17,1
"M-12",2024-03-18,2
"M-12",2024-03-19,0
"M-12",2024-03-20,0
"M-12",2024-03-21,0
"M-12",2024-03-22,0
"M-12",2024-03-23,1
"M-12",2024-03-24,0
"M-12",2024-03-25,0
"M-12",2024-03-26,0
"M-12",2024-03-27,0
"M-12",2024-03-28,0
"M-12",2024-03-29,0
"M-12",2024-03-30,0
"M-12",2024-03-31,0
"M-12",2024-04-01,0
"M-12",2024-04-02,0
"M-12",2024-04-03,0
"M-12",2024-04-04,0
"M-12",2024-04-05,0
"M-12",2024-04-06,0
"M-12",2024-04-07,0
"M-12",2024-04-08,0
"M-12",2024-04-09,0
"M-12",2024-04-10,0
"M-12",2024-04-11,0
"M-12",2024-04-12,0
"M-12",2024-04-13,2
"M-12",2024-04-14,3
"M-12",2024-04-15,14
"M-12",2024-04-16,12
"M-12",2024-04-17,23
"M-12",2024-04-18,64
"M-12",2024-04-19,18
"M-12",2024-04-20,46
"M-12",2024-04-21,7
"M-12",2024-04-22,1
"M-12",2024-04-23,8
"M-12",2024-04-24,13
"M-12",2024-04-25,2
"M-12",2024-04-26,1
"M-12",2024-04-27,0
