"site","date","count"
"M-1",2024-03-10,0
"M-1",2024-03-11,0
"M-1",2024-03-12,1
"M-1",2024-03-13,0
"M-1",2024-03-14,0
"M-1",2024-03-15,59
"M-1",2024-03-16,0
"M-1",2024-03-17,61
"M-1",2024-03-18,0
"M-1",2024-03-19,5
"M-1",2024-03-20,95
"M-1",2024-03-21,105
"M-1",2024-03-22,146
"M-1",2024-03-23,56
"M-1",2024-03-24,5
"M-1",2024-03-25,61
"M-1",2024-03-26,15
"M-1",2024-03-27,30
"M-1",2024-03-28,83
"M-1",2024-03-29,0
"M-1",2024-03-30,4
"M-1",2024-03-31,78
"M-1",2024-04-01,86
"M-1",2024-04-02,57
"M-1",2024-04-03,34
"M-1",2024-04-04,21
"M-1",2024-04-05,0
"M-1",2024-04-06,25
"M-1",2024-04-07,17
"M-1",2024-04-08,120
"M-1",2024-04-09,109
"M-1",2024-04-10,53
"M-1",2024-04-11,1
"M-1",2024-04-12,15
"M-1",2024-04-13,55
"M-1",2024-04-14,191
"M-1",2024-04-15,76
"M-1",2024-04-16,161
"M-1",2024-04-17,131
"M-1",2024-04-18,218
"M-1",2024-04-19,368
"M-1",2024-04-20,364
"M-1",2024-04-21,144
"M-1",2024-04-22,277
"M-1",2024-04-23,228
"M-1",2024-04-24,232
"M-1",2024-04-25,68
"M-1",2024-04-26,60
"M-1",2024-04-27,129
"M-1",2024-04-28,133
"M-1",2024-04-29,154
"M-1",2024-04-30,133
"M-1",2024-05-01,196
"M-1",2024-05-02,107
"M-1",2024-05-03,231
"M-1",2024-05-04,317
"M-1",2024-05-05,191
"M-1",2024-05-06,173
"M-1",2024-05-07,155
"M-1",2024-05-08,122
"M-1",2024-05-09,58
"M-1",2024-05-10,150
"M-1",2024-05-11,56
"M-1",2024-05-12,176
"M-1",2024-05-13,179
"M-1",2024-05-14,44
"M-1",2024-05-15,67
"M-1",2024-05-16,218
"M-1",2024-05-17,148
"M-1",2024-05-18,34
"M-1",2024-05-19,3
"M-1",2024-05-20,87
"M-1",2024-05-21,58
"M-1",2024-05-22,61
"M-1",2024-05-23,287
"M-1",2024-05-24,53
"M-1",2024-05-25,92
"M-1",2024-05-26,192
"M-1",2024-05-27,307
"M-1",2024-05-28,157
"M-1",2024-05-29,83
"M-1",2024-05-30,110
"M-1",2024-05-31,102
"M-1",2024-06-01,61
"M-1",2024-06-02,83
"M-1",2024-06-03,96
"M-1",2024-06-04,116
"M-1",2024-06-05,224
"M-1",2024-06-06,256
"M-1",2024-06-07,257
"M-1",2024-06-08,104
"M-1",2024-06-09,258
"M-1",2024-06-10,58
"M-1",2024-06-11,73
"M-1",2024-06-12,101
"M-1",2024-06-13,59
"M-1",2024-06-14,20
"M-1",2024-06-15,206
"M-1",2024-06-16,58
"M-1",2024-06-17,118
"M-1",2024-06-18,122
"M-1",2024-06-19,116
"M-1",2024-06-20,51
"M-1",2024-06-21,68
"M-1",2024-06-22,29
"M-1",2024-06-23,28
"M-1",2024-06-24,259
"M-1",2024-06-25,215
"M-1",2024-06-26,157
"M-1",2024-06-27,192
"M-1",2024-06-28,141
"M-10",2024-03-10,4
"M-10",2024-03-11,0
"M-10",2024-03-12,0
"M-10",2024-03-13,1
"M-10",2024-03-14,1
"M-10",2024-03-15,1
"M-10",2024-03-16,9
"M-10",2024-03-17,7
"M-10",2024-03-18,8
"M-10",2024-03-19,0
"M-10",2024-03-20,38
"M-10",2024-03-21,19
"M-10",2024-03-22,3
"M-10",2024-03-23,179
"M-10",2024-03-24,11
"M-10",2024-03-25,60
"M-10",2024-03-26,1
"M-10",2024-03-27,107
"M-10",2024-03-28,52
"M-10",2024-03-29,0
"M-10",2024-03-30,38
"M-10",2024-03-31,70
"M-10",2024-04-01,85
"M-10",2024-04-02,148
"M-10",2024-04-03,134
"M-10",2024-04-04,21
"M-10",2024-04-05,0
"M-10",2024-04-06,0
"M-10",2024-04-07,1
"M-10",2024-04-08,75
"M-10",2024-04-09,0
"M-10",2024-04-10,3
"M-10",2024-04-11,9
"M-10",2024-04-12,97
"M-10",2024-04-13,217
"M-10",2024-04-14,302
"M-10",2024-04-15,293
"M-10",2024-04-16,89
"M-10",2024-04-17,23
"M-10",2024-04-18,315
"M-10",2024-04-19,359
"M-10",2024-04-20,513
"M-10",2024-04-21,354
"M-10",2024-04-22,287
"M-10",2024-04-23,93
"M-10",2024-04-24,110
"M-10",2024-04-25,143
"M-10",2024-04-26,33
"M-10",2024-04-27,190
"M-10",2024-04-28,127
"M-10",2024-04-29,94
"M-10",2024-04-30,9
"M-10",2024-05-01,312
"M-10",2024-05-02,217
"M-10",2024-05-03,97
"M-10",2024-05-04,122
"M-10",2024-05-05,238
"M-10",2024-05-06,110
"M-10",2024-05-07,344
"M-10",2024-05-08,308
"M-10",2024-05-09,397
"M-10",2024-05-10,303
"M-10",2024-05-11,413
"M-10",2024-05-12,500
"M-10",2024-05-13,95
"M-10",2024-05-14,148
"M-10",2024-05-15,151
"M-10",2024-05-16,283
"M-10",2024-05-17,340
"M-10",2024-05-18,471
"M-10",2024-05-19,477
"M-10",2024-05-20,377
"M-10",2024-05-21,75
"M-10",2024-05-22,135
"M-10",2024-05-23,58
"M-10",2024-05-24,91
"M-10",2024-05-25,191
"M-10",2024-05-26,270
"M-10",2024-05-27,322
"M-10",2024-05-28,214
"M-10",2024-05-29,104
"M-10",2024-05-30,159
"M-10",2024-05-31,88
"M-10",2024-06-01,86
"M-10",2024-06-02,45
"M-10",2024-06-03,146
"M-10",2024-06-04,143
"M-10",2024-06-05,184
"M-10",2024-06-06,195
"M-10",2024-06-07,376
"M-10",2024-06-08,251
"M-10",2024-06-09,233
"M-10",2024-06-10,212
"M-10",2024-06-11,97
"M-10",2024-06-12,171
"M-10",2024-06-13,252
"M-10",2024-06-14,227
"M-10",2024-06-15,257
"M-10",2024-06-16,122
"M-10",2024-06-17,254
"M-10",2024-06-18,118
"M-10",2024-06-19,232
"M-10",2024-06-20,128
"M-10",2024-06-21,349
"M-10",2024-06-22,153
"M-10",2024-06-23,278
"M-10",2024-06-24,159
"M-10",2024-06-25,265
"M-10",2024-06-26,291
"M-10",2024-06-27,190
"M-10",2024-06-28,67
"M-11",2024-03-10,0
"M-11",2024-03-11,0
"M-11",2024-03-12,0
"M-11",2024-03-13,0
"M-11",2024-03-14,0
"M-11",2024-03-15,0
"M-11",2024-03-16,0
"M-11",2024-03-17,0
"M-11",2024-03-18,0
"M-11",2024-03-19,0
"M-11",2024-03-20,0
"M-11",2024-03-21,0
"M-11",2024-03-22,0
"M-11",2024-03-23,0
"M-11",2024-03-24,0
"M-11",2024-03-25,0
"M-11",2024-03-26,0
"M-11",2024-03-27,0
"M-11",2024-03-28,0
"M-11",2024-03-29,0
"M-11",2024-03-30,0
"M-11",2024-03-31,0
"M-11",2024-04-01,0
"M-11",2024-04-02,0
"M-11",2024-04-03,0
"M-11",2024-04-04,0
"M-11",2024-04-05,0
"M-11",2024-04-06,0
"M-11",2024-04-07,0
"M-11",2024-04-08,0
"M-11",2024-04-09,0
"M-11",2024-04-10,0
"M-11",2024-04-11,0
"M-11",2024-04-12,0
"M-11",2024-04-13,0
"M-11",2024-04-14,0
"M-11",2024-04-15,0
"M-11",2024-04-16,0
"M-11",2024-04-17,0
"M-11",2024-04-18,0
"M-11",2024-04-19,0
"M-11",2024-04-20,0
"M-11",2024-04-21,1
"M-11",2024-04-22,169
"M-11",2024-04-23,156
"M-11",2024-04-24,12
"M-11",2024-04-25,214
"M-11",2024-04-26,74
"M-11",2024-04-27,190
"M-11",2024-04-28,198
"M-11",2024-04-29,120
"M-11",2024-04-30,8
"M-11",2024-05-01,0
"M-11",2024-05-02,33
"M-11",2024-05-03,127
"M-11",2024-05-04,73
"M-11",2024-05-05,202
"M-11",2024-05-06,44
"M-11",2024-05-07,16
"M-11",2024-05-08,1
"M-11",2024-05-09,36
"M-11",2024-05-10,10
"M-11",2024-05-11,0
"M-11",2024-05-12,22
"M-11",2024-05-13,3
"M-11",2024-05-14,3
"M-11",2024-05-15,0
"M-11",2024-05-16,73
"M-11",2024-05-17,29
"M-11",2024-05-18,2
"M-11",2024-05-19,0
"M-11",2024-05-20,189
"M-11",2024-05-21,194
"M-11",2024-05-22,296
"M-11",2024-05-23,71
"M-11",2024-05-24,176
"M-11",2024-05-25,76
"M-11",2024-05-26,33
"M-11",2024-05-27,10
"M-11",2024-05-28,78
"M-11",2024-05-29,4
"M-11",2024-05-30,64
"M-11",2024-05-31,215
"M-11",2024-06-01,400
"M-11",2024-06-02,165
"M-11",2024-06-03,53
"M-11",2024-06-04,0
"M-11",2024-06-05,29
"M-11",2024-06-06,2
"M-11",2024-06-07,1
"M-11",2024-06-08,89
"M-11",2024-06-09,26
"M-11",2024-06-10,17
"M-11",2024-06-11,36
"M-11",2024-06-12,415
"M-11",2024-06-13,130
"M-11",2024-06-14,147
"M-11",2024-06-15,125
"M-11",2024-06-16,123
"M-11",2024-06-17,116
"M-11",2024-06-18,132
"M-11",2024-06-19,84
"M-11",2024-06-20,62
"M-11",2024-06-21,41
"M-11",2024-06-22,1
"M-11",2024-06-23,6
"M-11",2024-06-24,2
"M-11",2024-06-25,45
"M-11",2024-06-26,4
"M-11",2024-06-27,27
"M-11",2024-06-28,0
"M-12",2024-03-10,0
"M-12",2024-03-11,0
"M-12",2024-03-12,0
"M-12",2024-03-13,0
"M-12",2024-03-14,2
"M-12",2024-03-15,10
"M-12",2024-03-16,2
"M-12",2024-03-17,0
"M-12",2024-03-18,4
"M-12",2024-03-19,0
"M-12",2024-03-20,2
"M-12",2024-03-21,146
"M-12",2024-03-22,33
"M-12",2024-03-23,49
"M-12",2024-03-24,0
"M-12",2024-03-25,61
"M-12",2024-03-26,25
"M-12",2024-03-27,38
"M-12",2024-03-28,0
"M-12",2024-03-29,36
"M-12",2024-03-30,17
"M-12",2024-03-31,43
"M-12",2024-04-01,3
"M-12",2024-04-02,15
"M-12",2024-04-03,2
"M-12",2024-04-04,0
"M-12",2024-04-05,0
"M-12",2024-04-06,0
"M-12",2024-04-07,6
"M-12",2024-04-08,169
"M-12",2024-04-09,111
"M-12",2024-04-10,70
"M-12",2024-04-11,0
"M-12",2024-04-12,14
"M-12",2024-04-13,3
"M-12",2024-04-14,51
"M-12",2024-04-15,192
"M-12",2024-04-16,195
"M-12",2024-04-17,161
"M-12",2024-04-18,20
"M-12",2024-04-19,29
"M-12",2024-04-20,158
"M-12",2024-04-21,54
"M-12",2024-04-22,183
"M-12",2024-04-23,164
"M-12",2024-04-24,146
"M-12",2024-04-25,268
"M-12",2024-04-26,117
"M-12",2024-04-27,198
