"site","date","count","treatment"
"M-1",2024-03-10,0,"mine"
"M-1",2024-03-11,0,"mine"
"M-1",2024-03-12,1,"mine"
"M-1",2024-03-13,0,"mine"
"M-1",2024-03-14,0,"mine"
"M-1",2024-03-15,59,"mine"
"M-1",2024-03-16,0,"mine"
"M-1",2024-03-17,61,"mine"
"M-1",2024-03-18,0,"mine"
"M-1",2024-03-19,5,"mine"
"M-1",2024-03-20,95,"mine"
"M-1",2024-03-21,105,"mine"
"M-1",2024-03-22,146,"mine"
"M-1",2024-03-23,56,"mine"
"M-1",2024-03-24,5,"mine"
"M-1",2024-03-25,61,"mine"
"M-1",2024-03-26,15,"mine"
"M-1",2024-03-27,30,"mine"
"M-1",2024-03-28,83,"mine"
"M-1",2024-03-29,0,"mine"
"M-1",2024-03-30,4,"mine"
"M-1",2024-03-31,78,"mine"
"M-1",2024-04-01,86,"mine"
"M-1",2024-04-02,57,"mine"
"M-1",2024-04-03,34,"mine"
"M-1",2024-04-04,21,"mine"
"M-1",2024-04-05,0,"mine"
"M-1",2024-04-06,25,"mine"
"M-1",2024-04-07,17,"mine"
"M-1",2024-04-08,120,"mine"
"M-1",2024-04-09,109,"mine"
"M-1",2024-04-10,53,"mine"
"M-1",2024-04-11,1,"mine"
"M-1",2024-04-12,15,"mine"
"M-1",2024-04-13,55,"mine"
"M-1",2024-04-14,191,"mine"
"M-1",2024-04-15,76,"mine"
"M-1",2024-04-16,161,"mine"
"M-1",2024-04-17,131,"mine"
"M-1",2024-04-18,218,"mine"
"M-1",2024-04-19,368,"mine"
"M-1",2024-04-20,364,"mine"
"M-1",2024-04-21,144,"mine"
"M-1",2024-04-22,277,"mine"
"M-1",2024-04-23,228,"mine"
"M-1",2024-04-24,232,"mine"
"M-1",2024-04-25,68,"mine"
"M-1",2024-04-26,60,"mine"
"M-1",2024-04-27,129,"mine"
"M-1",2024-04-28,133,"mine"
"M-1",2024-04-29,154,"mine"
"M-1",2024-04-30,133,"mine"
"M-1",2024-05-01,196,"mine"
"M-1",2024-05-02,107,"mine"
"M-1",2024-05-03,231,"mine"
"M-1",2024-05-04,317,"mine"
"M-1",2024-05-05,191,"mine"
"M-1",2024-05-06,173,"mine"
"M-1",2024-05-07,155,"mine"
"M-1",2024-05-08,122,"mine"
"M-1",2024-05-09,58,"mine"
"M-1",2024-05-10,150,"mine"
"M-1",2024-05-11,56,"mine"
"M-1",2024-05-12,176,"mine"
"M-1",2024-05-13,179,"mine"
"M-1",2024-05-14,44,"mine"
"M-1",2024-05-15,67,"mine"
