"site","date","count"
"M-1",2024-03-10,3
"M-1",2024-03-11,12
"M-1",2024-03-12,4
"M-1",2024-03-13,15
"M-1",2024-03-14,56
"M-1",2024-03-15,33
"M-1",2024-03-16,13
"M-1",2024-03-17,9
"M-1",2024-03-18,14
"M-1",2024-03-19,4
"M-1",2024-03-20,23
"M-1",2024-03-21,6
"M-1",2024-03-22,5
"M-1",2024-03-23,5
"M-1",2024-03-24,8
"M-1",2024-03-25,2
"M-1",2024-03-26,2
"M-1",2024-03-27,27
"M-1",2024-03-28,4
"M-1",2024-03-29,15
"M-1",2024-03-30,9
"M-1",2024-03-31,1
"M-1",2024-04-01,3
"M-1",2024-04-02,2
"M-1",2024-04-03,1
"M-1",2024-04-04,14
"M-1",2024-04-05,0
"M-1",2024-04-06,6
"M-1",2024-04-07,2
"M-1",2024-04-08,4
"M-1",2024-04-09,6
"M-1",2024-04-10,3
"M-1",2024-04-11,3
"M-1",2024-04-12,0
"M-1",2024-04-13,34
"M-1",2024-04-14,16
"M-1",2024-04-15,26
"M-1",2024-04-16,24
"M-1",2024-04-17,0
"M-1",2024-04-18,41
"M-1",2024-04-19,4
"M-1",2024-04-20,5
"M-1",2024-04-21,2
"M-1",2024-04-22,4
"M-1",2024-04-23,6
"M-1",2024-04-24,8
"M-1",2024-04-25,16
"M-1",2024-04-26,16
"M-1",2024-04-27,1
"M-1",2024-04-28,49
"M-1",2024-04-29,4
"M-1",2024-04-30,3
"M-1",2024-05-01,8
"M-1",2024-05-02,1
"M-1",2024-05-03,3
"M-1",2024-05-04,1
"M-1",2024-05-05,1
"M-1",2024-05-06,1
"M-1",2024-05-07,16
"M-1",2024-05-08,2
"M-1",2024-05-09,4
"M-1",2024-05-10,33
"M-1",2024-05-11,3
"M-1",2024-05-12,2
"M-1",2024-05-13,0
"M-1",2024-05-14,14
"M-1",2024-05-15,1
"M-1",2024-05-16,2
"M-1",2024-05-17,12
"M-1",2024-05-18,10
"M-1",2024-05-19,3
"M-1",2024-05-20,2
"M-1",2024-05-21,9
"M-1",2024-05-22,0
"M-1",2024-05-23,11
"M-1",2024-05-24,18
"M-1",2024-05-25,1
"M-1",2024-05-26,22
"M-1",2024-05-27,0
"M-1",2024-05-28,6
"M-1",2024-05-29,6
"M-1",2024-05-30,1
"M-1",2024-05-31,2
"M-1",2024-06-01,7
"M-1",2024-06-02,5
"M-1",2024-06-03,0
"M-1",2024-06-04,27
"M-1",2024-06-05,8
"M-1",2024-06-06,16
"M-1",2024-06-07,8
"M-1",2024-06-08,13
"M-1",2024-06-09,2
"M-1",2024-06-10,37
"M-1",2024-06-11,17
"M-1",2024-06-12,2
"M-1",2024-06-13,2
"M-1",2024-06-14,5
"M-1",2024-06-15,1
"M-1",2024-06-16,14
"M-1",2024-06-17,4
"M-1",2024-06-18,2
"M-1",2024-06-19,2
"M-1",2024-06-20,17
"M-1",2024-06-21,9
"M-1",2024-06-22,11
"M-1",2024-06-23,1
"M-1",2024-06-24,2
"M-1",2024-06-25,11
"M-1",2024-06-26,2
"M-1",2024-06-27,2
"M-1",2024-06-28,0
"M-10",2024-03-10,30
"M-10",2024-03-11,5
"M-10",2024-03-12,28
"M-10",2024-03-13,0
"M-10",2024-03-14,4
"M-10",2024-03-15,1
"M-10",2024-03-16,15
"M-10",2024-03-17,0
"M-10",2024-03-18,7
"M-10",2024-03-19,7
"M-10",2024-03-20,1
"M-10",2024-03-21,1
"M-10",2024-03-22,0
"M-10",2024-03-23,0
"M-10",2024-03-24,0
"M-10",2024-03-25,2
"M-10",2024-03-26,0
"M-10",2024-03-27,0
"M-10",2024-03-28,0
"M-10",2024-03-29,0
"M-10",2024-03-30,3
"M-10",2024-03-31,0
"M-10",2024-04-01,2
"M-10",2024-04-02,0
"M-10",2024-04-03,9
"M-10",2024-04-04,4
"M-10",2024-04-05,1
"M-10",2024-04-06,0
"M-10",2024-04-07,0
"M-10",2024-04-08,0
"M-10",2024-04-09,0
"M-10",2024-04-10,1
"M-10",2024-04-11,12
"M-10",2024-04-12,18
"M-10",2024-04-13,48
"M-10",2024-04-14,3
"M-10",2024-04-15,1
"M-10",2024-04-16,1
"M-10",2024-04-17,5
"M-10",2024-04-18,0
"M-10",2024-04-19,0
"M-10",2024-04-20,0
"M-10",2024-04-21,5
"M-10",2024-04-22,5
"M-10",2024-04-23,0
"M-10",2024-04-24,0
"M-10",2024-04-25,0
"M-10",2024-04-26,0
"M-10",2024-04-27,0
"M-10",2024-04-28,0
"M-10",2024-04-29,0
"M-10",2024-04-30,1
"M-10",2024-05-01,3
"M-10",2024-05-02,0
"M-10",2024-05-03,6
"M-10",2024-05-04,8
"M-10",2024-05-05,7
"M-10",2024-05-06,6
"M-10",2024-05-07,1
"M-10",2024-05-08,3
"M-10",2024-05-09,7
"M-10",2024-05-10,1
"M-10",2024-05-11,2
"M-10",2024-05-12,20
"M-10",2024-05-13,0
"M-10",2024-05-14,3
"M-10",2024-05-15,18
"M-10",2024-05-16,0
"M-10",2024-05-17,2
"M-10",2024-05-18,0
"M-10",2024-05-19,4
"M-10",2024-05-20,3
"M-10",2024-05-21,0
"M-10",2024-05-22,0
"M-10",2024-05-23,0
"M-10",2024-05-24,0
"M-10",2024-05-25,2
"M-10",2024-05-26,0
"M-10",2024-05-27,0
"M-10",2024-05-28,0
"M-10",2024-05-29,0
"M-10",2024-05-30,0
"M-10",2024-05-31,0
"M-10",2024-06-01,3
"M-10",2024-06-02,0
"M-10",2024-06-03,0
"M-10",2024-06-04,0
"M-10",2024-06-05,1
"M-10",2024-06-06,0
"M-10",2024-06-07,0
"M-10",2024-06-08,1
"M-10",2024-06-09,3
"M-10",2024-06-10,5
"M-10",2024-06-11,9
"M-10",2024-06-12,0
"M-10",2024-06-13,0
"M-10",2024-06-14,0
"M-10",2024-06-15,1
"M-10",2024-06-16,0
"M-10",2024-06-17,0
"M-10",2024-06-18,0
"M-10",2024-06-19,0
"M-10",2024-06-20,0
"M-10",2024-06-21,4
"M-10",2024-06-22,7
"M-10",2024-06-23,0
"M-10",2024-06-24,0
"M-10",2024-06-25,0
"M-10",2024-06-26,0
"M-10",2024-06-27,4
"M-10",2024-06-28,4
"M-11",2024-03-10,0
"M-11",2024-03-11,0
"M-11",2024-03-12,0
"M-11",2024-03-13,0
"M-11",2024-03-14,0
"M-11",2024-03-15,0
"M-11",2024-03-16,0
"M-11",2024-03-17,0
"M-11",2024-03-18,0
"M-11",2024-03-19,0
"M-11",2024-03-20,0
"M-11",2024-03-21,0
"M-11",2024-03-22,0
"M-11",2024-03-23,0
"M-11",2024-03-24,0
"M-11",2024-03-25,0
"M-11",2024-03-26,0
"M-11",2024-03-27,0
"M-11",2024-03-28,0
"M-11",2024-03-29,0
"M-11",2024-03-30,0
"M-11",2024-03-31,0
"M-11",2024-04-01,0
"M-11",2024-04-02,0
"M-11",2024-04-03,0
"M-11",2024-04-04,0
"M-11",2024-04-05,0
"M-11",2024-04-06,0
"M-11",2024-04-07,0
"M-11",2024-04-08,0
"M-11",2024-04-09,0
"M-11",2024-04-10,0
"M-11",2024-04-11,0
"M-11",2024-04-12,0
"M-11",2024-04-13,0
"M-11",2024-04-14,0
"M-11",2024-04-15,0
"M-11",2024-04-16,0
"M-11",2024-04-17,0
"M-11",2024-04-18,0
"M-11",2024-04-19,0
"M-11",2024-04-20,0
"M-11",2024-04-21,0
"M-11",2024-04-22,43
"M-11",2024-04-23,24
"M-11",2024-04-24,41
"M-11",2024-04-25,7
"M-11",2024-04-26,20
"M-11",2024-04-27,3
"M-11",2024-04-28,10
"M-11",2024-04-29,6
"M-11",2024-04-30,20
"M-11",2024-05-01,2
"M-11",2024-05-02,29
"M-11",2024-05-03,6
"M-11",2024-05-04,50
"M-11",2024-05-05,42
"M-11",2024-05-06,11
"M-11",2024-05-07,0
"M-11",2024-05-08,6
"M-11",2024-05-09,12
"M-11",2024-05-10,10
"M-11",2024-05-11,2
"M-11",2024-05-12,0
"M-11",2024-05-13,15
"M-11",2024-05-14,36
"M-11",2024-05-15,4
"M-11",2024-05-16,29
"M-11",2024-05-17,40
"M-11",2024-05-18,1
"M-11",2024-05-19,7
