"site","conifer_cover","grass_cover","forb_cover","shrub_cover","conifer_height","grass_height","forb_height","shrub_height","bluestem_cover","pine_cover","broadleaf_shrub_cover","forb_other_cover","grass_other_cover","non_native_cover","forb_vine_cover","fern_cover","saw_palmetto_cover","broadleaf_vine_cover","wiregrass_cover","bluestem_height","pine_height","broadleaf_shrub_height","forb_other_height","grass_other_height","non_native_height","forb_vine_height","fern_height","saw_palmetto_height","broadleaf_vine_height","wiregrass_height","veg_cover_overall","veg_height_overall","veg_diversity_overall","treatment"
"M-1",0.9375,11.45,0,0,23,3.5,0,0,11.45,0.9375,0,0,0,0,0,0,0,0,0,3.5,23,0,0,0,0,0,0,0,0,0,12.3875,3.5,2,"mine"
"M-10",2.55,39.75,28.4875,0.9375,16.5,5.66071428571429,4.64,8,9.50000000000001,2.55,0.9375,28.4875,30.25,0,0,0,0,0,0,5.5,16.5,8,4.64,5.84615384615385,0,0,0,0,0,0,71.725,5.23148148148148,5,"mine"
"M-11",1.9875,69.575,3.725,0,16,3.53921568627451,7.75,0,12.9625,1.9875,0,3.725,56.6125,0,0,0,0,0,0,4.825,16,0,7.75,2.70967741935484,0,0,0,0,0,0,75.2875,3.98245614035088,4,"mine"
"M-12",2.25,13.775,1.225,73.325,20,5,11,13.7131578947368,0,2.25,73.325,1.225,0,13.775,0,0,0,0,0,0,20,13.7131578947368,11,0,5,0,0,0,0,0,90.575,11.1267857142857,4,"mine"
"M-2",0,5.375,0,1.375,0,3.125,0,4,3.4375,0,1.375,0,1.9375,0,0,0,0,0,0,3.4,0,4,0,2.66666666666667,0,0,0,0,0,0,6.75,3.3,3,"mine"
"M-5",0,25.4875,2.6125,20.475,0,4.2972972972973,2.83333333333333,10.95625,12.9125,0,20.475,2.6125,12.575,0,0,0,0,0,0,4.34090909090909,0,10.95625,2.83333333333333,4.23333333333333,0,0,0,0,0,0,48.575,6.12142857142857,4,"mine"
"M-6",0.499999999999999,25.3875,26.4,4.4125,6,5.54838709677419,4.39655172413793,7.25,1.625,0.499999999999999,4.4125,26.025,23.7625,0,0.375,0,0,0,0,5.16666666666667,6,7.25,4.44642857142857,5.58928571428571,0,3,0,0,0,0,56.7,5.1969696969697,6,"mine"
"M-7",1.5625,2.8125,10.9875,25.025,10.25,3.9375,3.84090909090909,7.03125,2.8125,1.5625,23.9,8.8125,0,0,0,2.175,1.125,0,0,3.9375,10.25,7,3.80555555555556,0,0,0,4,8,0,0,40.3875,5.5,6,"mine"
"M-9",3.7375,16.15,7.28749999999999,15.4625,12.2,3.85645161290323,3.4375,4.79166666666667,10.8375,3.7375,10.6625,6.72499999999999,5.3125,0,0,0.5625,0,4.79999999999999,0,3.97954545454545,12.2,4.83333333333333,3.5,3.55555555555556,0,0,3,0,4.66666666666667,0,42.6375,4.07816901408451,7,"mine"
"O-1",0,2.4875,0.3625,82.5625,0,4.8,6,7.97,1.425,0,68.3625,0,1.0625,0,0,0.3625,14.2,0,0,5.5,0,7.5287037037037,0,2,0,0,6,10.1363636363636,0,0,85.4125,7.71901408450704,5,"mature_savanna"
"O-2",0,3.975,0.6875,78.375,0,4.625,4,7.02268656716418,3.975,0,54.1125,0.6875,0,0,0,0,24.2625,0,0,4.625,0,6.03166666666667,4,0,0,0,0,9.52631578947368,0,0,83.0375,6.80849315068493,4,"mature_savanna"
"O-3",0,1.67499999999999,3.5125,77.8375,0,3.875,3.83333333333333,5.27772277227723,0.737499999999995,0,50.75,2.8375,0.625,0,0,0.675,27.4,0,0,4.5,0,4.48841463414634,3.6,4,0,0,5,8.375,0,0,83.025,5.1490990990991,6,"mature_savanna"
"O-4",0,12.15,4.7375,56.1125,0,5.30555555555556,3.88888888888889,6.875,11.35,0,37.6625,1.975,0.8,0,0,2.7625,18.45,0,0,5.34375,0,6.26923076923077,2.83333333333333,5,0,0,4.41666666666667,8.69230769230769,0,0,73,6.17721518987342,6,"mature_savanna"
"O-5",0,1,4.875,26.375,0,2.66666666666667,3.55,3.74,0,0,17.625,0,0.625000000000001,0,0,4.875,8.5,0.25,0.375,0,0,3.10810810810811,0,2,0,0,3.55,5.83333333333333,2,4,32.25,3.65873015873016,6,"mature_savanna"
"O-6",0,0,1.125,53.475,0,0,3,3.99759036144578,0,0,48.225,0,0,0,0,1.125,5.25,0,0,0,0,3.71643835616438,0,0,0,0,3,6.05,0,0,54.6,3.97411764705882,3,"mature_savanna"
"O-7",2.1875,0.737500000000001,10.3625,71.175,6.6,2.5,4.23809523809524,5.4,0,2.1875,65.7125,0.6125,0.237500000000001,0,0,9.75,5.4625,0,0.5,0,6.6,5.1,6.25,3,0,0,4.02631578947368,7.65,0,2,84.4625,5.12037037037037,7,"mature_savanna"
"O-8",0,0.812500000000001,4.1625,35.4375,0,2.25,3.13636363636364,3.64754098360656,0,0,29.35,1.75,0.812500000000001,0,0,2.4125,6.0875,0,0,0,0,2.87755102040816,2.375,2.25,0,0,3.57142857142857,6.79166666666667,0,0,40.4125,3.53378378378378,5,"mature_savanna"
"R-1",0.4375,0,0.6125,84.6125,9.5,0,5,9.80597014925373,0,0.4375,65.05,0,0,0,0,0.6125,19.5625,0,0,0,9.5,9.61206896551724,0,0,0,0,5,11.0555555555556,0,0,85.6625,9.73529411764706,4,"young_savanna"
"R-10",0,3.15,5.2875,51.0875,0,3.66666666666667,2.6875,7.24555555555556,2.6625,0,49.475,1.75,0.487500000000001,0,3.5375,0,1.6125,0,0,4,0,7.18295454545455,4.83333333333333,2,0,1.4,0,10,0,0,59.525,6.2635593220339,6,"young_savanna"
"R-11",0,6.09999999999999,19.1142857142857,53.7428571428571,0,4.5,5.5,7.19148936170213,5.67142857142857,0,49.6714285714286,0,0.428571428571424,0,0,19.1142857142857,1.14285714285714,2.92857142857143,0,4.66666666666667,0,7.34883720930233,0,3,0,0,5.5,10,4,0,78.9571428571428,6.45205479452055,6,"young_savanna"
