"start","end","height","cover_type","cover_type_sub","genus","species","site","line","site_line","date","line_length"
0,1,12,"shrub","broadleaf_shrub","Persea","","O-4","L4","O-4L4",2024-06-21,1
1.5,2.8,7,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,1.3
3,3.2,5,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.2
3.21,3.45,5,"forb","fern","","","O-4","L4","O-4L4",2024-06-21,0.24
3.46,3.75,5.5,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.29
4,4.2,4,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.2
4.3,4.7,4,"shrub","saw_palmetto","","","O-4","L4","O-4L4",2024-06-21,0.4
4.85,5.35,5,"grass","bluestem","","","O-4","L4","O-4L4",2024-06-21,0.5
5.6,5.9,4,"forb","fern","","","O-4","L4","O-4L4",2024-06-21,0.300000000000001
6,6.4,6.5,"grass","bluestem","","","O-4","L4","O-4L4",2024-06-21,0.4
6.5,7,6,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.5
7.01,7.25,5,"grass","grass_other","","","O-4","L4","O-4L4",2024-06-21,0.24
7.35,7.9,6.5,"grass","bluestem","","","O-4","L4","O-4L4",2024-06-21,0.550000000000001
8.3,9.1,5,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.799999999999999
9.3,10.1,9,"shrub","saw_palmetto","","","O-4","L4","O-4L4",2024-06-21,0.799999999999999
10.3,10.5,6.5,"grass","bluestem","","","O-4","L4","O-4L4",2024-06-21,0.199999999999999
10.65,11.35,5,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.699999999999999
11.65,12.5,9,"shrub","saw_palmetto","","","O-4","L4","O-4L4",2024-06-21,0.85
12.51,13,4.5,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.49
13.01,14.1,9,"shrub","saw_palmetto","","","O-4","L4","O-4L4",2024-06-21,1.09
14.11,14.75,6,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,0.640000000000001
14.76,18,9,"shrub","saw_palmetto","","","O-4","L4","O-4L4",2024-06-21,3.24
19,20,6,"shrub","broadleaf_shrub","Illex","","O-4","L4","O-4L4",2024-06-21,1
0,1.7,6,"grass","bluestem","","","O-4","L3","O-4L3",2024-06-21,1.7
1.71,2.3,4.5,"forb","fern","","","O-4","L3","O-4L3",2024-06-21,0.59
2.6,2.8,2.5,"forb","forb_other","","","O-4","L3","O-4L3",2024-06-21,0.2
3.2,3.5,5,"forb","fern","","","O-4","L3","O-4L3",2024-06-21,0.3
3.8,4.5,5,"grass","bluestem","","","O-4","L3","O-4L3",2024-06-21,0.7
4.51,5.4,8,"shrub","broadleaf_shrub","Gaylussacia","","O-4","L3","O-4L3",2024-06-21,0.890000000000001
5.45,6.65,12,"shrub","saw_palmetto","","","O-4","L3","O-4L3",2024-06-21,1.2
7.2,7.8,9,"shrub","broadleaf_shrub","Morella","","O-4","L3","O-4L3",2024-06-21,0.6
