start,end,height,cover_type,cover_type_sub,genus,species,site,line,site_line,date
0.00,1.00,12.00,shrub,broadleaf_shrub,Persea,,O-4,L4,O-4L4,2024-06-21
1.50,2.80,7.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
3.00,3.20,5.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
3.21,3.45,5.00,forb,fern,,,O-4,L4,O-4L4,2024-06-21
3.46,3.75,5.50,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
4.00,4.20,4.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
4.30,4.70,4.00,shrub,saw_palmetto,,,O-4,L4,O-4L4,2024-06-21
4.85,5.35,5.00,grass,bluestem ,,,O-4,L4,O-4L4,2024-06-21
5.60,5.90,4.00,forb,fern,,,O-4,L4,O-4L4,2024-06-21
6.00,6.40,6.50,grass,bluestem,,,O-4,L4,O-4L4,2024-06-21
6.50,7.00,6.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
7.01,7.25,5.00,grass,grass_other,,,O-4,L4,O-4L4,2024-06-21
7.35,7.90,6.50,grass,bluestem,,,O-4,L4,O-4L4,2024-06-21
8.30,9.10,5.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
9.30,10.10,9.00,shrub,saw_palmetto,,,O-4,L4,O-4L4,2024-06-21
10.30,10.50,6.50,grass,bluestem,,,O-4,L4,O-4L4,2024-06-21
10.65,11.35,5.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
11.65,12.50,9.00,shrub,saw_palmetto,,,O-4,L4,O-4L4,2024-06-21
12.51,13.00,4.50,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
13.01,14.10,9.00,shrub,saw_palmetto,,,O-4,L4,O-4L4,2024-06-21
14.11,14.75,6.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
14.76,18.00,9.00,shrub,saw_palmetto,,,O-4,L4,O-4L4,2024-06-21
19.00,20.00,6.00,shrub,broadleaf_shrub,Illex,,O-4,L4,O-4L4,2024-06-21
0.00,1.70,6.00,grass,bluestem,,,O-4,L3,O-4L3,2024-06-21
1.71,2.30,4.50,forb,fern,,,O-4,L3,O-4L3,2024-06-21
2.60,2.80,2.50,forb,forn_other,,,O-4,L3,O-4L3,2024-06-21
3.20,3.50,5.00,forb,fern,,,O-4,L3,O-4L3,2024-06-21
3.80,4.50,5.00,grass,bluestem,,,O-4,L3,O-4L3,2024-06-21
4.51,5.40,8.00,shrub,broadleaf_shrub,Gaylussacia,,O-4,L3,O-4L3,2024-06-21
5.45,6.65,12.00,shrub,saw_palmetto,,,O-4,L3,O-4L3,2024-06-21
7.20,7.80,9.00,shrub,broadleaf_shrub,Morella,,O-4,L3,O-4L3,2024-06-21
7.81,9.40,7.00,shrub,broadleaf_shrub,Illex,,O-4,L3,O-4L3,2024-06-21
9.95,11.00,4.00,grass,bluestem,,,O-4,L3,O-4L3,2024-06-21
14.40,15.30,6.50,shrub,broadleaf_shrub,Illex,,O-4,L3,O-4L3,2024-06-21
19.20,20.00,9.00,shrub,broadleaf_shrub,Illex,,O-4,L3,O-4L3,2024-06-21
0.00,0.40,5.00,shrub,broadleaf_shrub,Persea,,O-4,L2,O-4L2,2024-06-21
0.50,1.20,11.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
1.21,3.30,12.00,shrub,saw_palmetto,,,O-4,L2,O-4L2,2024-06-21
3.31,3.75,8.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
4.10,4.40,4.50,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
4.41,4.80,4.00,forb,fern,,,O-4,L2,O-4L2,2024-06-21
4.81,5.30,6.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
5.31,5.70,3.00,forb,forb_other,,,O-4,L2,O-4L2,2024-06-21
5.80,6.55,8.00,shrub,saw_palmetto,,,O-4,L2,O-4L2,2024-06-21
6.95,7.30,5.00,grass,bluestem,,,O-4,L2,O-4L2,2024-06-21
7.50,9.00,5.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
9.30,9.65,3.00,grass,bluestem,,,O-4,L2,O-4L2,2024-06-21
9.80,10.20,5.00,grass,bluestem,,,O-4,L2,O-4L2,2024-06-21
10.21,10.35,5.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
10.55,11.90,8.00,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
11.91,13.00,12.00,shrub,saw_palmetto,,,O-4,L2,O-4L2,2024-06-21
13.20,14.35,8.00,shrub,saw_palmetto,,,O-4,L2,O-4L2,2024-06-21
14.36,15.05,5.50,shrub,broadleaf_shrub,Illex,,O-4,L2,O-4L2,2024-06-21
