"site","date","count"
"M-1",2024-03-10,0
"M-1",2024-03-11,0
"M-1",2024-03-12,0
"M-1",2024-03-13,0
"M-1",2024-03-14,0
"M-1",2024-03-15,0
"M-1",2024-03-16,0
"M-1",2024-03-17,0
"M-1",2024-03-18,0
"M-1",2024-03-19,0
"M-1",2024-03-20,0
"M-1",2024-03-21,0
"M-1",2024-03-22,0
"M-1",2024-03-23,0
"M-1",2024-03-24,0
"M-1",2024-03-25,0
"M-1",2024-03-26,0
"M-1",2024-03-27,0
"M-1",2024-03-28,0
"M-1",2024-03-29,0
"M-1",2024-03-30,0
"M-1",2024-03-31,0
"M-1",2024-04-01,0
"M-1",2024-04-02,0
"M-1",2024-04-03,4
"M-1",2024-04-04,0
"M-1",2024-04-05,0
"M-1",2024-04-06,0
"M-1",2024-04-07,0
"M-1",2024-04-08,0
"M-1",2024-04-09,0
"M-1",2024-04-10,0
"M-1",2024-04-11,0
"M-1",2024-04-12,0
"M-1",2024-04-13,0
"M-1",2024-04-14,0
"M-1",2024-04-15,0
"M-1",2024-04-16,2
"M-1",2024-04-17,0
"M-1",2024-04-18,0
"M-1",2024-04-19,0
"M-1",2024-04-20,0
"M-1",2024-04-21,0
"M-1",2024-04-22,0
"M-1",2024-04-23,0
"M-1",2024-04-24,0
"M-1",2024-04-25,0
"M-1",2024-04-26,0
"M-1",2024-04-27,0
"M-1",2024-04-28,0
"M-1",2024-04-29,2
"M-1",2024-04-30,1
"M-1",2024-05-01,0
"M-1",2024-05-02,2
"M-1",2024-05-03,0
"M-1",2024-05-04,0
"M-1",2024-05-05,0
"M-1",2024-05-06,1
"M-1",2024-05-07,1
"M-1",2024-05-08,0
"M-1",2024-05-09,1
"M-1",2024-05-10,1
"M-1",2024-05-11,0
"M-1",2024-05-12,3
"M-1",2024-05-13,0
"M-1",2024-05-14,0
"M-1",2024-05-15,2
"M-1",2024-05-16,5
"M-1",2024-05-17,8
"M-1",2024-05-18,0
"M-1",2024-05-19,1
"M-1",2024-05-20,0
"M-1",2024-05-21,3
"M-1",2024-05-22,0
"M-1",2024-05-23,3
"M-1",2024-05-24,7
"M-1",2024-05-25,0
"M-1",2024-05-26,0
"M-1",2024-05-27,2
"M-1",2024-05-28,16
"M-1",2024-05-29,5
"M-1",2024-05-30,0
"M-1",2024-05-31,3
"M-1",2024-06-01,1
"M-1",2024-06-02,0
"M-1",2024-06-03,1
"M-1",2024-06-04,0
"M-1",2024-06-05,2
"M-1",2024-06-06,0
"M-1",2024-06-07,6
"M-1",2024-06-08,1
"M-1",2024-06-09,0
"M-1",2024-06-10,2
"M-1",2024-06-11,0
"M-1",2024-06-12,1
"M-1",2024-06-13,0
"M-1",2024-06-14,27
"M-1",2024-06-15,15
"M-1",2024-06-16,0
"M-1",2024-06-17,4
"M-1",2024-06-18,0
"M-1",2024-06-19,2
"M-1",2024-06-20,1
"M-1",2024-06-21,0
"M-1",2024-06-22,0
"M-1",2024-06-23,0
"M-1",2024-06-24,0
"M-1",2024-06-25,2
"M-1",2024-06-26,0
"M-1",2024-06-27,0
"M-1",2024-06-28,0
"M-10",2024-03-10,0
"M-10",2024-03-11,0
"M-10",2024-03-12,0
"M-10",2024-03-13,0
"M-10",2024-03-14,0
"M-10",2024-03-15,0
"M-10",2024-03-16,1
"M-10",2024-03-17,0
"M-10",2024-03-18,0
"M-10",2024-03-19,0
"M-10",2024-03-20,0
"M-10",2024-03-21,0
"M-10",2024-03-22,0
"M-10",2024-03-23,0
"M-10",2024-03-24,0
"M-10",2024-03-25,0
"M-10",2024-03-26,0
"M-10",2024-03-27,0
"M-10",2024-03-28,1
"M-10",2024-03-29,0
"M-10",2024-03-30,0
"M-10",2024-03-31,0
"M-10",2024-04-01,0
"M-10",2024-04-02,0
"M-10",2024-04-03,0
"M-10",2024-04-04,0
"M-10",2024-04-05,0
"M-10",2024-04-06,0
"M-10",2024-04-07,0
"M-10",2024-04-08,0
"M-10",2024-04-09,0
"M-10",2024-04-10,1
"M-10",2024-04-11,0
"M-10",2024-04-12,0
"M-10",2024-04-13,3
"M-10",2024-04-14,0
"M-10",2024-04-15,15
"M-10",2024-04-16,0
"M-10",2024-04-17,8
"M-10",2024-04-18,18
"M-10",2024-04-19,25
"M-10",2024-04-20,3
"M-10",2024-04-21,4
"M-10",2024-04-22,78
"M-10",2024-04-23,18
"M-10",2024-04-24,9
"M-10",2024-04-25,6
"M-10",2024-04-26,10
"M-10",2024-04-27,24
"M-10",2024-04-28,56
"M-10",2024-04-29,70
"M-10",2024-04-30,35
"M-10",2024-05-01,3
"M-10",2024-05-02,26
"M-10",2024-05-03,31
"M-10",2024-05-04,59
"M-10",2024-05-05,42
"M-10",2024-05-06,24
"M-10",2024-05-07,75
"M-10",2024-05-08,91
"M-10",2024-05-09,24
"M-10",2024-05-10,20
"M-10",2024-05-11,1
"M-10",2024-05-12,12
"M-10",2024-05-13,17
"M-10",2024-05-14,9
"M-10",2024-05-15,10
"M-10",2024-05-16,37
"M-10",2024-05-17,2
"M-10",2024-05-18,31
"M-10",2024-05-19,11
"M-10",2024-05-20,28
"M-10",2024-05-21,21
"M-10",2024-05-22,77
"M-10",2024-05-23,59
"M-10",2024-05-24,34
"M-10",2024-05-25,54
"M-10",2024-05-26,36
"M-10",2024-05-27,4
"M-10",2024-05-28,8
"M-10",2024-05-29,52
"M-10",2024-05-30,30
"M-10",2024-05-31,22
"M-10",2024-06-01,23
"M-10",2024-06-02,35
"M-10",2024-06-03,21
"M-10",2024-06-04,40
"M-10",2024-06-05,17
"M-10",2024-06-06,41
"M-10",2024-06-07,67
"M-10",2024-06-08,80
"M-10",2024-06-09,17
"M-10",2024-06-10,48
"M-10",2024-06-11,27
"M-10",2024-06-12,41
"M-10",2024-06-13,41
"M-10",2024-06-14,9
"M-10",2024-06-15,5
"M-10",2024-06-16,52
"M-10",2024-06-17,41
"M-10",2024-06-18,0
"M-10",2024-06-19,0
"M-10",2024-06-20,4
"M-10",2024-06-21,27
"M-10",2024-06-22,3
"M-10",2024-06-23,3
"M-10",2024-06-24,24
"M-10",2024-06-25,9
"M-10",2024-06-26,39
"M-10",2024-06-27,2
"M-10",2024-06-28,3
"M-11",2024-03-10,0
"M-11",2024-03-11,0
"M-11",2024-03-12,0
"M-11",2024-03-13,0
"M-11",2024-03-14,0
"M-11",2024-03-15,0
"M-11",2024-03-16,0
"M-11",2024-03-17,0
"M-11",2024-03-18,0
"M-11",2024-03-19,0
"M-11",2024-03-20,0
"M-11",2024-03-21,0
"M-11",2024-03-22,0
"M-11",2024-03-23,0
"M-11",2024-03-24,0
"M-11",2024-03-25,0
"M-11",2024-03-26,0
"M-11",2024-03-27,0
"M-11",2024-03-28,0
"M-11",2024-03-29,0
"M-11",2024-03-30,0
"M-11",2024-03-31,0
"M-11",2024-04-01,0
"M-11",2024-04-02,0
"M-11",2024-04-03,0
"M-11",2024-04-04,0
"M-11",2024-04-05,0
"M-11",2024-04-06,0
"M-11",2024-04-07,0
"M-11",2024-04-08,0
"M-11",2024-04-09,0
"M-11",2024-04-10,0
"M-11",2024-04-11,0
"M-11",2024-04-12,0
"M-11",2024-04-13,0
"M-11",2024-04-14,0
"M-11",2024-04-15,0
"M-11",2024-04-16,0
"M-11",2024-04-17,0
"M-11",2024-04-18,0
"M-11",2024-04-19,0
"M-11",2024-04-20,0
"M-11",2024-04-21,0
"M-11",2024-04-22,4
"M-11",2024-04-23,1
"M-11",2024-04-24,22
"M-11",2024-04-25,27
"M-11",2024-04-26,24
"M-11",2024-04-27,6
"M-11",2024-04-28,36
"M-11",2024-04-29,35
"M-11",2024-04-30,31
"M-11",2024-05-01,1
"M-11",2024-05-02,56
"M-11",2024-05-03,51
"M-11",2024-05-04,6
"M-11",2024-05-05,67
"M-11",2024-05-06,52
"M-11",2024-05-07,57
"M-11",2024-05-08,33
"M-11",2024-05-09,8
"M-11",2024-05-10,5
"M-11",2024-05-11,37
"M-11",2024-05-12,40
"M-11",2024-05-13,41
"M-11",2024-05-14,1
"M-11",2024-05-15,3
"M-11",2024-05-16,33
"M-11",2024-05-17,1
"M-11",2024-05-18,6
"M-11",2024-05-19,13
"M-11",2024-05-20,65
"M-11",2024-05-21,42
"M-11",2024-05-22,65
"M-11",2024-05-23,2
"M-11",2024-05-24,83
"M-11",2024-05-25,85
"M-11",2024-05-26,53
"M-11",2024-05-27,0
"M-11",2024-05-28,14
"M-11",2024-05-29,34
"M-11",2024-05-30,55
"M-11",2024-05-31,18
"M-11",2024-06-01,72
"M-11",2024-06-02,11
"M-11",2024-06-03,3
"M-11",2024-06-04,4
"M-11",2024-06-05,35
"M-11",2024-06-06,148
"M-11",2024-06-07,99
"M-11",2024-06-08,156
"M-11",2024-06-09,27
"M-11",2024-06-10,86
"M-11",2024-06-11,17
"M-11",2024-06-12,26
"M-11",2024-06-13,15
"M-11",2024-06-14,33
"M-11",2024-06-15,16
"M-11",2024-06-16,5
"M-11",2024-06-17,0
"M-11",2024-06-18,5
"M-11",2024-06-19,9
"M-11",2024-06-20,13
"M-11",2024-06-21,52
"M-11",2024-06-22,40
"M-11",2024-06-23,20
"M-11",2024-06-24,18
"M-11",2024-06-25,5
"M-11",2024-06-26,0
"M-11",2024-06-27,3
"M-11",2024-06-28,1
"M-12",2024-03-10,0
"M-12",2024-03-11,0
"M-12",2024-03-12,0
"M-12",2024-03-13,0
"M-12",2024-03-14,0
"M-12",2024-03-15,0
"M-12",2024-03-16,0
"M-12",2024-03-17,0
"M-12",2024-03-18,0
"M-12",2024-03-19,0
"M-12",2024-03-20,0
"M-12",2024-03-21,0
"M-12",2024-03-22,0
"M-12",2024-03-23,0
"M-12",2024-03-24,0
"M-12",2024-03-25,0
"M-12",2024-03-26,0
"M-12",2024-03-27,0
"M-12",2024-03-28,0
"M-12",2024-03-29,0
"M-12",2024-03-30,0
"M-12",2024-03-31,0
"M-12",2024-04-01,1
"M-12",2024-04-02,0
"M-12",2024-04-03,0
"M-12",2024-04-04,0
"M-12",2024-04-05,0
"M-12",2024-04-06,0
"M-12",2024-04-07,0
"M-12",2024-04-08,0
"M-12",2024-04-09,5
"M-12",2024-04-10,2
"M-12",2024-04-11,0
"M-12",2024-04-12,0
"M-12",2024-04-13,0
"M-12",2024-04-14,0
"M-12",2024-04-15,0
"M-12",2024-04-16,2
"M-12",2024-04-17,0
"M-12",2024-04-18,3
"M-12",2024-04-19,18
"M-12",2024-04-20,7
"M-12",2024-04-21,0
"M-12",2024-04-22,10
"M-12",2024-04-23,7
"M-12",2024-04-24,20
"M-12",2024-04-25,15
"M-12",2024-04-26,4
"M-12",2024-04-27,29
