sp_code,how,dist,min,count,dir,sex,e_dist,e_time,visit,date,start_time,obs,site,temp,noise,sky,wind,lat,long,comments,aru,site_number,average_shrubs,average_robel
EATO,S,0,0,1,NW,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
EATO,S,1,0,1,NE,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
NOBO,C,0,0,1,S,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
AMCR,C,2,0,1,S,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
EATO,C,1,0,1,SE,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
GCFL,C,1,0,1,NE,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
MODO,S,2,0,1,SE,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
BLGR,S,1,1,1,NE,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
CARW,S,2,1,1,NW,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
CARW,S,1,2,1,NE,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
NOCA,S,1,5,1,S,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
SPARROW SP.,C,0,7,1,E,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
NOMO,S,1,9,1,E,,,,1,5/10/23,6:27:00,DW,T-16,68,1,0,0,31.054705,-81.958432,,SMA10414,18,0.75,6.71875
WEVI,S,0,0,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
CARW,S,1,0,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
CARW,S,1,0,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
AMCR,C,3,0,1,SW,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
BLJA,C,2,1,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
MODO,S,3,1,1,W,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
COYE,S,0,1,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
WEVI,S,1,1,1,W,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
GCFL,S,2,2,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
COYE,S,2,2,1,NE,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
SPARROW SP.,C,0,2,1,S,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
EATO,S,1,3,1,S,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
BLGR,S,1,4,1,SE,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
BLGR,C,1,5,1,W,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
PIWO,C,3,6,1,NW,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
NOCA,S,3,7,1,N,,,,1,5/10/23,6:51:00,DW,T-17,69,2,0,0,31.057456,-81.960633,Train noise through survey,SMA10466,19,0,5.6875
NOMO,S,0,0,1,NW,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
NOBO,S,1,0,1,W,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
COYE,S,1,0,1,N,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
CARW,S,3,0,1,NE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
AMCR,C,3,0,1,W,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
MODO,S,1,1,1,NE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
SPARROW SP.,C,0,1,1,W,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
RBWO,C,2,2,1,NE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
BLJA,C,3,2,1,NW,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
AMCR,C,3,3,1,NE,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
CARW,S,3,4,1,W,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
PIWO,S,3,4,1,W,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
WEVI,S,2,5,1,E,,,,1,5/10/23,7:14:00,DW,T-18,69,1,0,0,31.057842,-81.957241,,SMA10458,20,1,13.875
