sp.codes,how,dist,min,dir,num,site,date,vist,season,sky,wind,noise,time,temp,comment
BLGR,S,1,0,W,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
RBWO,C,2,0,N,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
COYE,S,1,0,N,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
FICR,C,2,0,W,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
EATO,C,1,0,E,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
CARW,S,2,0,E,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
COGR,C,2,0,N,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
TUTI,S,2,1,W,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
PIWO,C,3,1,N,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
WEVI,S,2,1,W,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
BARS,C,0,4,N,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
MODO,S,3,4,E,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
AMCR,C,3,6,S,1,M-6,2024-04-28,1,SPRING,1,0,1,8:25,66,
CARW,S,3,0,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
BARS,C,2,0,N,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
COYE,S,3,0,N,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
CARW,S,3,0,E,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
PRAW,S,2,0,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
COGR,C,3,0,E,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
AMCR,C,3,1,E,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
EATO,S,3,2,S,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
COYE,C,2,4,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
NOBO,S,3,6,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
PIWA,S,3,6,N,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
GCFL,C,3,6,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
NRWS,C,3,7,N,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
NOMO,S,3,8,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
WEVI,S,2,9,W,1,M-6,2024-05-05,2,SPRING,1,2,2,9:49,77,
NOPA,S,1,0,E,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
WEVI,S,1,0,E,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
CARW,S,2,0,E,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
NOBO,S,1,0,S,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
EATO,S,2,0,S,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
CARW,S,1,0,N,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
GCFL,C,2,0,N,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
PIWA,S,1,1,N,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
NOCA,S,2,2,N,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
BLGR,S,2,5,S,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
EATO,S,1,6,N,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
RBWO,C,2,7,E,1,M-7,2024-04-28,1,SPRING,1,1,1,9:06,68,
WEVI,S,1,0,N,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
EATO,S,2,0,N,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
BACS,S,2,0,E,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
BACS,C,0,0,N,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
BLGR,S,2,0,N,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
NOBO,S,1,0,E,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
WEVI,S,2,0,W,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
AMCR,C,3,0,N,2,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
NOCA,S,2,1,W,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
CARW,S,3,1,W,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
COGR,C,2,4,N,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
PIWO,C,3,6,N,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
RBWO,C,3,7,S,1,M-7,2024-05-05,2,SPRING,1,1,2,9:05,74,
OROR,C,2,0,N,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
NOMO,S,2,0,N,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
TUVU,X,3,0,W,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
GCFL,C,2,0,W,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
BLGR,S,2,0,W,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
NOBO,S,1,1,E,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
CARW,S,3,2,N,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
STKI,X,3,9,N,1,M-10,2024-04-26,1,SPRING,1,2,1,9:32,70,
EATO,C,2,0,W,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
COGR,C,3,0,E,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
COGR,C,3,0,W,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
NOMO,S,3,0,N,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
RWBL,C,2,0,E,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
GCFL,C,2,1,W,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
AMCR,C,3,1,N,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
NOPA,S,2,4,W,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
RBWO,C,3,5,W,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
NOMO,S,2,7,E,1,M-10,2024-05-05,2,SPRING,0,1,2,8:28,71,
CARW,S,2,0,E,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
BLGR,C,2,0,N,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
GCFL,C,2,0,E,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
BLGR,S,2,0,E,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
NOBO,S,2,0,S,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
RBWO,C,2,0,N,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
RWBL,C,3,0,S,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
WEVI,S,2,0,N,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
AMCR,C,3,1,W,2,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
WITU,C,3,1,E,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
EATO,C,2,2,W,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
COGR,C,2,3,E,2,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
EATO,C,1,6,N,1,M-9,2024-05-05,2,SPRING,1,0,3,7:56,69,
WEVI,S,2,0,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
BLGR,S,1,0,S,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
TUVU,X,1,0,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
NOCA,S,2,0,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
WEVI,S,2,2,E,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
BLVU,X,2,3,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
CARW,S,2,4,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
NRWS,C,2,5,E,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
BLJA,C,3,5,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
AMCR,C,3,5,W,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
MODO,S,3,6,E,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
EATO,C,2,6,E,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
HOWA,S,2,7,E,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
GCFL,C,2,8,S,1,M-9,2024-04-26,1,SPRING,0,1,2,10:12,75,
CARW,S,2,0,N,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
CARW,S,1,0,N,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
EATO,C,2,0,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
RBWO,C,2,0,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
SACR,C,3,0,S,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
BHNU,C,2,0,W,2,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
FICR,C,3,0,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
CARW,S,1,0,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
TUVU,X,3,1,S,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
COYE,S,2,2,E,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
FICR,C,2,3,N,2,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
RBWO,C,1,3,N,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
RHWO,C,3,3,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
PIWO,C,3,4,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
COGR,C,2,5,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
PIWA,S,2,6,S,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
NOFL,C,2,8,N,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
MODO,S,3,8,W,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
RHWO,C,1,9,S,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
EATO,S,1,9,S,1,O-2,2024-05-07,2,SPRING,0,1,0,9:20,76,
CARW,S,1,0,E,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
CARW,S,2,0,E,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
RHWO,C,1,0,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
RHWO,C,1,0,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
EAKI,C,1,0,W,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
CARW,S,2,1,W,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
COYE,S,2,1,W,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
FICR,C,3,1,E,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
NOBO,S,3,0,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
NOBO,S,2,2,W,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
EATO,S,2,2,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
CARW,S,3,3,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
CEDW,C,2,4,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
GCFL,C,1,4,N,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
EABL,C,2,5,S,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
COYE,S,2,5,W,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
HBCO,C,2,5,E,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
EATO,C,1,6,E,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
PIWA,S,2,6,N,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
COGR,C,2,7,W,1,O-2,2024-05-06,1,SPRING,1,0,0,7:46,69,
GCFL,C,2,0,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
BACS,S,2,0,S,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
CARW,S,2,0,N,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
BACS,S,1,1,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
MODO,S,2,1,W,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
RHWO,S,3,2,W,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
PIWA,S,1,2,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
CONI,C,2,2,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
CARW,S,2,2,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
PIWA,S,3,2,W,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
CONI,C,2,5,W,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
TUVU,X,2,5,W,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
NOFL,C,2,6,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
EATO,C,2,7,E,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
EABL,C,1,8,N,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
RHWO,C,2,8,N,1,O-5,2024-05-06,2,SPRING,0,3,0,10:19,78,
BACS,S,1,0,S,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
EATO,C,1,0,E,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
EATO,C,1,0,E,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
MODO,S,2,0,N,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
BACS,S,3,0,W,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
RHWO,C,1,0,N,2,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
EATO,S,1,0,W,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
BRTH,S,1,0,N,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
CARW,S,1,1,N,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
NOFL,C,2,0,N,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
CARW,S,2,1,S,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
RHWO,C,2,2,S,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
BHNU,C,1,3,E,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
PIWA,S,1,3,N,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
BLGR,S,2,3,E,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
GCFL,C,1,3,E,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
AMCR,C,3,3,S,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
RBWO,C,2,4,N,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
BLJA,C,3,7,E,1,O-5,2024-04-29,1,SPRING,1,0,1,8:02,64,
MODO,S,2,0,N,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
MODO,S,2,0,N,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
PIWA,S,2,0,W,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
NOBO,S,2,0,N,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
EATO,S,1,0,W,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
BACS,S,2,0,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
RBWO,C,2,0,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
EATO,C,2,0,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
NOBO,S,2,0,N,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
AMCR,C,2,0,W,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
GCFL,C,2,1,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
CARW,S,3,2,W,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
DOWO,C,2,2,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
NOMO,S,2,2,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
RHWO,C,3,3,N,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
CONI,C,2,4,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
NOFL,C,2,5,W,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
RHWO,C,2,6,S,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
EABL,C,1,6,E,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
RCWO,C,1,8,N,2,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
EABL,X,2,8,E,3,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
CGDO,C,2,8,S,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
FICR,C,3,9,W,1,O-7,2024-05-07,2,SPRING,0,0,0,7:12,68,
WITU,C,2,0,N,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
GCFL,C,1,0,W,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
EATO,C,1,0,W,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
AMCR,C,2,0,N,2,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
MODO,S,1,0,W,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
EATO,C,1,0,N,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
CARW,S,2,0,N,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
GCFL,C,2,0,E,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
GCFL,C,2,0,E,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
CARW,S,1,1,S,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
CONI,C,3,1,S,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
RHWO,C,2,1,E,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
RHWO,C,3,1,S,1,O-7,2024-04-29,1,SPRING,1,0,0,7:02,60,
