sp_code,null_aic,c_aic,l_aic,cutoff90_c,cutoff95_c,cutoff99_c,cutoff90_l,cutoff95_l,cutoff99_l,correct_predicitons,total_predictions
BACS,392.9182833,287.0680449,238.6561089,1.088034732,1.21454682,1.494026287,4.628919432,5.545663515,7.570854568,203,306
BLGR,69.81782987,29.80134178,30.83816984,0.243869618,0.276649598,0.34906427,-1.138799878,-0.919953783,-0.436498082,200,208
CGDO,67.90358528,57.0331964,55.47009031,0.348132168,0.510137548,0.868025699,-0.661397521,0.186305438,2.058976864,177,185
CONI,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,208
COYE,23.67533824,13.72784758,13.84711959,0.145209692,0.163939655,0.205316254,-1.799416122,-1.646306297,-1.308069427,165,167
CWWI,14.67026074,4.000002004,4.000001149,0.109024559,0.109332747,0.110013567,-2.102608789,-2.09952468,-2.092711535,207,208
EATO,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,205
INBU,24.48021902,17.11898073,17.7819428,0.165365028,0.213303444,0.319204811,-1.693078262,-1.365422197,-0.641593003,202,204
NOBO,166.3479223,71.55790819,73.136957,0.537150691,0.610702694,0.773187361,0.274326942,0.648661358,1.475608293,180,208
PRAW,87.97093799,38.37447085,36.88425519,0.301166106,0.348011588,0.451498539,-0.904616708,-0.643180015,-0.065636882,196,207
WEVI,24.17316027,24.82621156,24.47403808,-0.257107293,0.020213339,0.632845885,-3.771598767,-2.320327251,0.885695175,187,189
