date,temp,rain,wind
7/1/2023,28.5,0,3.6
7/2/2023,29,0,4.2
7/3/2023,28.8,0,4.1
7/4/2023,28.2,0,2.4
7/5/2023,28.8,0.8,5.1
7/6/2023,29.2,1.7,5.4
7/7/2023,29.8,18.5,4.6
7/8/2023,28.4,0.6,3.5
7/9/2023,29,0.9,9.2
7/10/2023,27,6.3,7
7/11/2023,27.4,0,0.9
7/12/2023,29.3,0,3.2
7/13/2023,27.7,0.1,1.6
7/14/2023,27.5,2.5,4.5
7/15/2023,27.2,1.2,4.2
7/16/2023,28.4,6.9,5.5
7/17/2023,26.7,0,2.3
7/18/2023,27.7,0,1.5
7/19/2023,28.9,0,2.9
7/20/2023,30.1,0,3
7/21/2023,30.9,5.9,6
7/22/2023,25.7,0.5,5.2
7/23/2023,24.7,9.1,1.7
7/24/2023,27.4,2,2.6
7/25/2023,27.7,0,0.6
7/26/2023,28.1,0,3
7/27/2023,28.3,1.3,3.7
7/28/2023,25.8,15.4,5.5
7/29/2023,27.1,0.8,4
7/30/2023,28.8,2.9,5.1
7/31/2023,27.1,0.4,2.5
