ec5_uuid,created_at,uploaded_at,created_by,title,1_Site_name,2_ARU,lat_3_Coordinates,long_3_Coordinates,accuracy_3_Coordinates,UTM_Northing_3_Coordinates,UTM_Easting_3_Coordinates,UTM_Zone_3_Coordinates,4_Average_Tree_Heigh,5_Date,6_Picture_of_ARU,7_Comments
ff451e46-e9c3-4481-b183-2e0f7c592029,2024-04-22T14:54:03.000Z,2024-05-22T00:05:20.000Z,danwatson@vt.edu,"O-8 2MA02142",O-8,2MA02142,30.735864,-82.13204,5,3400876,391628,17R,50,22/04/2024,,"Updated location (05/07). Previously 2MA02246, before bear attack"
65b6b7f2-481f-4c66-8c97-8b4924a23d61,2024-04-21T17:05:03.000Z,2024-04-29T14:26:39.000Z,danwatson@vt.edu,"M-11 2MA02464",M-11,2MA02464,31.000967,-81.974136,4,3430116,407001,17R,5,21/04/2024,,"Previously SMA10423"
fa03d53f-495b-4aa3-a7c3-e7056d25501e,2024-04-21T16:42:03.000Z,2024-04-29T14:26:36.000Z,danwatson@vt.edu,"M-9 2MA02426",M-9,2MA02426,31.014551,-81.970892,4,3431619,407324,17R,5,21/04/2024,,"Previously SMA10426"
3cb300b9-b6b6-4d7b-ae03-332ee44724fe,2024-04-21T16:04:09.000Z,2024-04-21T16:04:49.000Z,danwatson@vt.edu,"M-6 2MA02436",M-6,2MA02436,31.024703,-81.96947,4,3432743,407470,17R,8,21/04/2024,,"Previously SMA10464"
c10e2c92-d87f-4497-9bc3-2298482816d7,2024-04-20T15:05:16.000Z,2024-04-21T16:04:35.000Z,danwatson@vt.edu,"T-21 2MA02421",T-21,2MA02421,31.062836,-81.967317,4,3436967,407712,17R,15,20/04/2024,,"Previously SMA10422"
c3827fa6-1502-4c68-bfb7-e9e1bf0455ee,2024-04-20T14:06:38.000Z,2024-04-21T16:04:33.000Z,danwatson@vt.edu,"T-22 2MA02420",T-22,2MA02420,31.063175,-81.955033,4,3436995,408884,17R,5,20/04/2024,,"Previously SMA10417"
bd2ded0f-1a8f-4335-9863-8d03833ac627,2024-04-20T13:18:14.000Z,2024-04-21T16:04:31.000Z,danwatson@vt.edu,"T-16 2MA02233",T-16,2MA02233,31.0547,-81.95844,7,3436058,408551,17R,10,20/04/2024,,"Previously SMA10414"
a14be30c-8254-45b5-a045-7ad4ab44a109,2024-04-19T15:18:53.000Z,2024-04-21T16:04:28.000Z,danwatson@vt.edu,"R-9 2MA02450",R-9,2MA02450,31.474027,-81.64982,4,3482320,438272,17R,12,19/04/2024,,"Previously SMA10427"
8dded2c9-4789-4895-bdae-b97cd88def4e,2024-04-19T14:57:58.000Z,2024-04-21T16:04:25.000Z,danwatson@vt.edu,"R-11 2MA02454",R-11,2MA02454,31.478682,-81.648163,4,3482835,438433,17R,12,19/04/2024,,"Previously SMA10468"
6a06bc74-38b9-4b9a-813f-fc3a746d0bd1,2024-04-19T14:05:18.000Z,2024-04-21T16:04:23.000Z,danwatson@vt.edu,"R-13 SMA10458",R-13,SMA10458,31.492956,-81.65717,4,3484422,437586,17R,20,19/04/2024,,"Previously SMA10449"
41f8d7d3-6131-4075-b798-7ae5f46fbb06,2024-04-19T13:22:53.000Z,2024-04-21T16:04:20.000Z,danwatson@vt.edu,"R-6 2MA02477",R-6,2MA02477,31.490036,-81.682753,5,3484114,435155,17R,15,19/04/2024,,"Previously SMA10451"
a559fbbe-3ea2-4850-a80c-1dc4b71d291b,2024-04-19T12:32:19.000Z,2024-04-21T16:04:18.000Z,danwatson@vt.edu,"R-2 SMA10470",R-2,SMA10470,31.451921,-81.677162,4,3479886,435660,17R,12,19/04/2024,,"Previously SMA10424"
9d58544a-9661-4bcf-8a2e-fbebf8823e9f,2024-04-19T12:02:10.000Z,2024-04-21T16:04:16.000Z,danwatson@vt.edu,"R-1 SMA10395",R-1,SMA10395,31.443986,-81.678994,4,3479007,435480,17R,10,19/04/2024,,"Previously SMA10467"
a89f34ed-e2ec-48e3-bf34-571b2e73da8c,2024-03-09T14:06:07.000Z,2024-03-10T01:35:28.000Z,danwatson@vt.edu,"R-12 SMA04991",R-12,SMA04991,31.486482,-81.65091,7,3483701,438177,17R,10,09/03/2024,a89f34ed-e2ec-48e3-bf34-571b2e73da8c_1709993161.jpg,E
e58bef26-3168-4f0d-b7f2-cb218aa0fbf9,2024-03-09T13:40:35.000Z,2024-03-10T01:35:25.000Z,danwatson@vt.edu,"R-10 SMA10466",R-10,SMA10466,31.472843,-81.644869,5,3482186,438742,17R,15,09/03/2024,e58bef26-3168-4f0d-b7f2-cb218aa0fbf9_1709991623.jpg,
608c7e46-97bd-4fc1-8d79-c886418694a1,2024-03-09T13:18:23.000Z,2024-03-10T01:35:22.000Z,danwatson@vt.edu,"R-7 SMA10465",R-7,SMA10465,31.475199,-81.662027,8,3482457,437113,17R,10,09/03/2024,608c7e46-97bd-4fc1-8d79-c886418694a1_1709990298.jpg,
790d2d1a-6cf2-46be-a06f-a7a459222473,2024-03-09T12:36:03.000Z,2024-03-10T01:35:20.000Z,danwatson@vt.edu,"R-3 SMA04859",R-3,SMA04859,31.459982,-81.676797,4,3480779,435700,17R,12,09/03/2024,790d2d1a-6cf2-46be-a06f-a7a459222473_1709987757.jpg,E
6b9ac6ec-1d10-4fd7-be5a-c775bb88fddb,2024-03-08T18:01:28.000Z,2024-09-26T01:18:05.000Z,danwatson@vt.edu,"M-12 2MA02233",M-12,2MA02233,31.010558,-81.968836,4,3431174,407517,17R,15,08/03/2024,,"SMA10452 had water in it (06/29) - replaced now with 2MA02233"
